小标题真是会曲解啊，她这话意思叫范靠绯闻上位？
社交媒体没兴起的年代真好，还能多多少少看到点真相
那时候明星自称艺人，是很贴地的人
刚刚徐老怪眼神大家发现了没有
如果是乱说的那王菲大概率应该要发律师函，所以大概率是真的
我有印象，好像是把出朱梓骁是0了哈哈哈
这句话也一语成谶了
如果是现在的话，字幕就会变成“你有没有口过人啊”
杨幂说的是实话，娱乐圈不分男女基本都卖pg
李有的东西啊哈哈哈哈哈哈
？王菲什么眼神
这里真的和存子很像。。。。。
我觉得他很敢说呀，比现在强多了，现在都只说一些客套话
谁上班开心哈哈哈哈哈哈哈哈哈
dating
谢霆锋
小四精选
瓜来了于是那个催更
这就是简单的调侃啊， 以后明星还怎么公开做自己啊
《没在现场》
别问刘亦菲了 她出道时候是未成年 很多推测放在未成年身上公开分析影响不好
她出事以后没人落井下石就能看出她平常很会做人
《恭喜恭喜》
徐克的表情已经说明了一切
啊？
家人们，这不是正常的事，这就是道德败坏。别因为她长得好看，就三观跟着五官跑啊。
于鸭点你啦………………
于适吗哈哈哈哈哈哈哈哈哈
这个还好吧，看多了不就会看吐吗？啥好东西看多了也烦啊
哈哈哈哈哈哈哈哈
王菲能看上他？
娱乐圈这些明星访谈 我算看清楚了，看看就行了 睡不睡自己清楚哈哈哈
《坦荡》
“住哪个别墅啊”笑死我了，有没有可能龙姨没有别墅
这也是实话啊
讲真换我我也想看，虽然不太好哈哈哈哈哈哈哈
龙姨说的都是大实话
好炸裂
快说于适和大姐二姐的故事，怎么热闹的事
所以你猜他们为什么会在深夜
那时候的幂还是言之有物的，不像现在....
前面弹幕有点难评
实话啊
她还要看周董的
好朋友，但坐得比谁都开
以前整容技术不行，一般没怎么整的。关，也只是微整吧
一语成谶
我记得之前看李昌钰的访谈他说他可以控制自己的心跳速度
以前这些女明星可是明面上假惺惺的都在撕呢，真有趣
五月天：给你一张过去的CD～
哈哈哈哈哈哈哈哈哈哈哈哈哈哈还是有先见之明
参考现在的rap圈
