乔乔的异想世界！
我是避刀闲人，你猜我在这干嘛。
刀死我了
眼睛看不得暧暧内含光
谁让你这么剪辑的？？
谁教你这么剪的！！！
你给我来这个！？
怎么回事啊我还能吃到虫温刀
我在等blade runner
这个最虐了……
开始～结束
回来了，当初的b站又回来了
零声起手，你让我怎么躲
每个人都要习惯离别的
1
又next level了？
受不了了
好剪
牛逼……
bro以为能让我哭
教父！教父！教父！
BGM：Two Different Worlds（应该）
格温
教父
麦扣qaq
绝了！！
见证新剪辑形式
禁闭岛！
二代教父麦克啊啊啊啊啊
亡妻回忆录
是暧暧内含光啦
T  T
你知道我上個視頻笑得多開心嗎⋯
好剪！！！
谁教你这么剪的？！
最后一张
终于有人用这个BGM了
虾仁猪心
救命，开头暴击
jojo兔
bgm：Two different world（两重天）
麦克 柯里昂
麦克 柯里昂
银翼杀手我是真哭了
叫异想世界结果把我刀了
赛博朋克呢
剪的这么好
呜呜暖暖内含光
难受
六六六，剪的这么好，等着我去厨房给你拿个硬币
阿婆主鲨人了
谢谢老师，第一次见刀子雨
受不了了啊啊
告诉小李子我想吃鱼了
bgm：two differents world
总结就是想让作者飞起来！
up你是要杀了我吗
谁教你这么剪的
什么魔鬼
天使的心跳
谁准你这么剪的啊？
我只能说n b
n b
太会剪了
剪的很厉害
你这刀怎么还带附魔啊
恭喜你发现宝藏
神了
我天我要为这个视频专门开一个收藏夹……
银翼杀手
乔乔！
我嘞个好剪
谁叫你这么剪的？
0帧起手
2024年最喜欢的一个视频
可以加个叶问的
甜菜
居然有禁闭岛
暖暖内含光！！！
银翼！
火钳刘明
谁踏马教你这么剪的
剪辑谁教你的？
谁教你这么剪的(哭)
《禁闭岛》
老师剪的真好
你要干嘛(。ŏ_ŏ)
教父啊
我们虫温ㅠ ㅠ ㅠ ㅠ ㅠ ㅠ
你要杀了我吗朋友
柯里昂家族
牛逼
飞屋环游记！
谁让你剪我的？
哥们，你要这么剪，我就哭给你看了
这剪得真牛逼
啊？
教父震撼到我了
summer
暖暖内含光
这么剪！？牛！！！
冻～梨～
乔乔的异想世界
物是人非事事休 欲语泪先流
不怕失去，只怕还记得
火了赞我
看得鸡皮疙瘩起一身…我的眼泪
求BGM
我的小橘子
默默点赞
教父排面！
良作无人！！！！！
恋夏五百日！！！
当时看乔乔的时候真没绷住哭了
恭喜你发现宝藏
啊？不是，我路过被捅了
要离开
要离开
要离开
cool
