出音味来
升华的小曲
不会是《格尔尼卡》吧
夜间的咖啡馆，我最喜欢的两个作品
光之子：我来收烛火
灯光设计师也是一门职业呢
感觉好亮啊
姐姐这个惊喜的笑好鲜活
P图思路
自我感动的小曲
起鸡皮疙瘩了
一股强劲的音乐响起
格尔尼卡的出来！格尔尼卡的灯只是代表了意象，他是抽象画，你没法拿写实的手法去解释他
前两天刚在芝加哥看了这个夜游者
快哭了
令人肉麻的小曲
这是什么歌啊？
《夜游者》几年前在上海博物馆展出过，当时看到真迹大受震撼
《golden hour》
这个电灯画的真的好好啊，感觉天空都被照亮了
这图太吊了，被一群导演轮番致敬
好美啊
瑞利散射
BGM是啥
我们今天历史课有这幅画
画得真牛哇
我觉得打光的位置不太对
卧槽，灯光画出来了！
灯下黑没有哦
蜡…蜡烛？光遇之魂觉醒了
文明
好漂亮
卧槽？！
每日艺术的小曲1/1
艺术
各位大佬，我也快lv6了，给孩子点点赞吧
他也没有火呀
每日你看啊（1/1）
别带王处节奏啊
马奈
我以为你没有下半身（）好像飘起来的(＞＜)
我要文明 不做牛马！
这个音乐到底是什么啊
1每日问音乐
你也没说旁边有灯啊
这个灯光太真了，感觉好亮啊。
好棒的画
电影不是艺术吗
夜游者神中神
《星际穿越》
这个音乐让我想起了在三千亩玉米地里找无人机的日子
学到了，这就这么干（
这里是什么音乐？
人类进入电气化！
真的好亮
煤气灯？你是不是有所指啊？
然后坐上去
哇鸡皮疙瘩起来了
歌名：Be What you wanna be
沈星回 光来了
用光去描摹光
好美好美好美
这个画。。有内涵哈
偷摸零
豁然开朗
泰拉之王
好像照片呀
.
掉漆了（确信）
妹妹贵庚？
别带节奏
灯塔直射
整根的象牙
我以为是灯塔
←这油画100多年前的了了吧，要说也是维尔汀像她，倒反天罡，倒反天罡啊
天哪，柏林的路灯这个画简直太绝了，太精准了，太漂亮了
升华的小曲预备～
难道不是党的光辉最亮吗？！
好看吗？
主光源
维尔汀吗 1999
欸？不是《福尔·热贝尔的吧台》吗？
明显是有场外光源
我鸡皮疙瘩起来了
恍然大明白进行曲
少见多怪的小曲
灯下黑
我们村路灯今年才安上
哇！！这个直硬的电光的感觉一下子就跟烛火区分开了！
是维尔汀啦……
就像是照片…
你竟然敢无视灯
夜鹰我很喜欢的一幅画
UP主的女朋友
进入电气时代！
鸡皮疙瘩起
若黑夜不可避免，那就由我们创造光明
好有感觉
卧槽！
散光pov
煤气灯亮啊
好亮啊
） ； 7
艺术的小曲
很难想象这玩意和大清是一个时期的……
夜鹰
快看，是一个举着蜡烛的光遇玩家！
哈哈火星子…
维尔丁。。。。。
准确来说这幅画叫 柏林的第一个电力路灯
我就不看
我不看
好强的冷光感！。
警察，消防员，快递小哥的小曲儿
真的看起来好亮啊
哇好好看
爱德华
爱德华
这个花不止于
正常车
科学万岁
这画真美
哇塞！！！
太棒了，这饭恰的有水平
第一反应也是灯
这是谁呀，好好看
升华的小曲
要素察觉 要来力
人类文明转动之时
丝滑
哇塞
艺术之小曲儿
一小时前
姐姐真漂亮
我草好牛逼啊
星际穿越BGM！
鸡皮疙瘩起来了
霹雳撕man
我草我以为没人和我一样，这就是司辰小姐
材料本身也是一种创意和艺术
别带王储节奏
艺术の小曲
无惨（幻视）
刚想说女神俱乐部吧台
已经准备睡了，还好我点进来看了一眼，22分钟前
求bgm
神说：要有光
升华的小曲
每日你看哈（1/1）
每日你看哈
司辰是你吗
智慧の小曲
一阵强劲的音乐响起
灯泡
反过来
每日一你看哈（1/1）
战歌起
艺术是要来源于生活的，是的，是这样的。
四分钟前
3分鐘前
我哩个豆，第三个赞
來辣！
艺术的小曲
2分钟前
卧槽！这是画？
