观众：幻术？
天才
观众：我在思考
我了个潜望长焦啊
简单物理折射
你猜猜是镜子贵还是相机贵？
我串流到平板电脑上不就好了呢，打游戏呢要那么低延迟干嘛
我嘞个物理学照亮世界
天才
？
学好数理化，走遍天下都不怕
之前看直播就很好奇，原来是用小镜子，太机智了
为什么不买摄像头
这就是外置望远镜吗
好主意呀！谢谢分享！
第一个想到的是天才
物理学照亮世界
好聪明，卧槽
青年大学习
妙
外接一个相机，效果一样吗？
华为手机前置也有广角模式
听到这里脑子宕机了
这个就叫专业
6
牛逼
小牛
甜菜
给我给小镜子，我现在强的可怕
光学大师
幽默哥又来咯
66666
6啊
我以为他会把镜子的链接放评论区
jiay
牛批
天才
天才！
通过多次折射实现加大光程，增加焦距
照妖镜是吧，这也能急
手机潜望长焦原理
上链接有电脑账号啊
难怪主播老是看另一边。
折叠光路？
太牛了
天才
可以带货啊
光学的魅力
光学的魅力
闹钟核心科技疑似有点幽默了
投屏搞定
闹钟核心科技
你信他，正常直播何止一个手机？你这样怎么上链接？手机还要取下来操作。
手机都不知道怎么对焦了
买不到真实镜的就傻了
是反射哟
知道了卖镜子的
镜子链接
就说网络可以学习
《折 射》
能给自己理发
牛逼
加个监视器不就行了
确实很巧妙
人才啊
天才
厉害
开广角？
天才！
搞个摄像头不行吗？
《高清》
