后面老师表情亮点
日本上司
不是戴反了，只是戴太前面了
歹饭了（doge）
鲜酵兔荳蛐鲅
《严肃》
要鼹鼠啊
新东方厨师
回合制
夺舍成功
《带饭了》
哈哈哈哈哈哈哈哈哈哈哈哈绷不住了
椒丘：不会医术的将军幕僚不是好厨子嘛
带反了哈哈哈哈哈
返祖现象
大长今
土豆不就在后面马？八个鸭肉！（doge
嚎啸马
战地护士
医院也有后厨
可是，她好漂亮啊
亖命感
八个鸭卤
有点像奔丧带的白帽
汉尼拔
大厨哈哈哈哈
哈哈哈
你这土豆！我一会就炒了你！
白案师傅啊
这还是国内吗？
盐鼠
《  卤  蛋  》
后面不就有一个土豆吗
日系菜
哈哈哈
男女双主角
绷不住了
日本上司
完美契合
食疗也是疗
没带反
哈哈哈哈哈哈
盐粟
……
哈哈哈哈哈哈哈
医食同源，懂了，椒椒(bushi)
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
怎么这么搞笑啊哈哈哈哈
这一鞠躬直接给全场送走
哈哈哈哈哈哈哈哈哈哈哈哈哈
椒丘
哈哈哈笑死
？还有二周目？！！
《使命召唤》
哈哈哈哈哈哈哈
笑疯了
带反了
哈哈哈哈哈哈
还笑
救命 我在喝水
打饭阿姨绷不住了
现在医院护士也实行脱帽了，这个帽子不仅不方便还没用
还有高手
恭喜恭喜
哈哈哈哈哈哈没绷住
寿帽
戴孝吗
好小马！
哈哈哈哈哈
妙手厨房，治我饿病
徐峥
耀眼树蛙
什么拔叔
封面没绷住
三小时前，还可以用岩浆热一热
大长今
不是戴反了，是戴太前了
每日安抚
我们膳食科待遇可好了，工作轻松钱也不少
药食一类，医食同源
哈哈哈哈哈哈哈哈哈
不知道是蹲下去还是跪下去的，让人很不舒服
？？？
圣心厨房
医院火头军
《给阎王做饭》
没戴反，只是太靠前了
要严厨啊！
厨子出师（笑晕）
哈哈h哈哈哈
哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈
，
蚌埠组了
有点像没戴好的圆帽(男女护士都可以带)
噗哈哈哈哈哈
唐牛才是众望所归
下方搜索，护士帽怎么戴
最初是要这么带的，为了防止掉头发
难蚌
《 还 珠 格 格 》
帽子是反了吗（
受骂
送葬队
蚌埠住了
没事哒～
双料理学位
不是戴到了，是太靠前了！！！
哈哈哈哈哈哈哈哈哈哈哈
孝帽？
？
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
新东方毕业hhhh
我觉得挺好看的呀
哈哈哈哈哈哈哈哈哈哈蚌埠主拉
小姐姐还挺漂亮的
还有高手
削土豆忘了削你了是吧？
要称植物是吧
尼姑
椒丘
《  药   食   同   源   》
哈哈哈哈哈哈哈哈哈猜到了，但是转过来还是绷不住了
汉尼拔
好笑
哈哈哈哈
哈哈哈哈哈哈
完啦，吃瓜吃到护理了
是瞎了？ 这都认成马未都？
披麻戴孝
一鞠躬（）
还要下跪？这男的是护理部主任还是护士长？
久违的好啦好啦
寿司大将
哈哈哈哈哈哈哈哈
要带走点什么
没绷住
哈哈哈哈哈哈
《椒丘》
哈哈哈哈哈哈哈哈哈
老师：你，去给我炒俩菜！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
6
刘国梁
（不会做菜的医生不是一个好厨师）
