这些几十年如一的球迷真是可怜啊，闻者伤心，见者落泪。
走到了最后一秒
三叶の小曲
记住他现在的表情
我就说很蓝的啦
吾脚打滑乃天命也，啊！！！
沙特：再进一球？包的
近年来基本上就是场上氛围没输过，场内对局没赢过
大家把海参准备好
一片死寂
仿佛是一位老A股民在复盘
有没有可能他是来看沙特比赛的
他应该是来看沙特的。。。
带预言家
吴磊萧炎：斗气化马声波斗技三千雷动！
舒服！！就等这一刻呢！！
Five武磊
3个球都是沙特进的
这里胜哥跟旁边同步了
沙特：展示容错
草皮发力了
都怪门柱太高(doge)
他在笑是因为他不知道后面会发生什么，我在笑是因为我知道后面会发生什么
笑容转移到我脸上
《论剪辑的艺术》
比朱雀门那次人还多（四万八比四万一）
《F.W》666
别下课了 都下多少堂课还整不明白呢
马退敌为什么会来看这个
这也赢不了真没啥好踢的
国足:抱歉，没能让沙特大人使出全力
老钟基本盘
这还是个乌龙
cos海参
《降到》
肯定买的到啊，花贵钱受气的有多少啊。太冤大头了。
后面的妹妹好看
舒坦了
《很蓝的啦》
赶来赤石咯
触发海参特性
《你猜为何央视都不转播》
记住这个笑容！
记住这个开局
唉……球迷们是真爱啊
太棒了，爽
花钱找虐...
不懂这些花钱看这玩意的人
这场国足没进球，1个乌龙的，2个沙特的
还是有差距吧，门柱外侧，离内侧还有点距离
后一个多小时里，怎么丢了2球被掀翻的？
很有钱嘛 场馆花了多少钱啊
庆祝都是挑衅了，你真的变得没味了
"人家庆祝一下也算挑衅,行吧就算是挑衅又如何"
花那冤枉钱
什么天降神雨，天降借口啊
真的很开心，尤其是0-7那次
舞毛线，还是五毛钱？哈哈
请记住这个笑容，马上就得去日内瓦退钱了
必胜客还差不多
差生文具多
沙特打入本场第一球
悲伤的小曲
这个环节结束了就可以散场了
沙人特压力多大啊
太丢份了吧
逆天
《为钱而战》
退钱！！！！
哈哈哈哈哈，武磊
国家养一群海参踢足球吗
退钱
这一跤收了多少钱
？？
你对得起我们吗 日内瓦 退钱
大傻春：我也不知道我说了什么 不知道 啊啊啊啊啊啊啊啊 （超大声）
可怜
那没辙，体育竞技菜是原罪
用薪的
幽默
轮到我笑了
怎么跟白天一样
人真多啊 然后还这么丢脸 主场比赛多一人还给逆转了
日本都踢不过，为啥会有能赢沙特的错觉呢？
哈哈哈哈
11打对面8个能赢吗
多少优势都支撑不起差劲的水平
见证历史了
退钱
完美的开局
惊不惊喜意不意外
？
bgm 好评
退钱
应景还用日本的音乐哈哈
唉，我怎么感觉国足的粉丝 比LOLM玩家还要惨。。。何至于此？
但凡看了这场球的都知道教练问题多明显
大连图书馆
沉默不语就是对它最好评价了， 烂了不是一天两天、一年两年了。有什么好评价的。
国足就是个乐子
已经结束嘞！
沙特：我们尽力了
其实都是来看输的 你想多了
***，**！
沙特nb!
已经结束啦
下课~~这能怪教练吗22333怎么这么搞笑
11打不过10个还不给挑衅那无敌了
没见过有这样扑街法的~~~
中国队不会防守速度也不快说实话。。
为啥还有那么多人去看呢，侥幸心理？
花这钱 还遭大罪 何苦何苦
我说你们股民和球迷不会是同一波…对不起对不起，我是说，你们有时间交个朋友凑一桌喝一杯吧
我觉得开局很好啊！已经在谷底…对不起走错了，总之开局很好啊！！有进步就是好事！！
你们能先别曝出来吗？至少不知道局势的人前面会高兴一下，你们这么一说，全程…
优势在我！
起立
你看他眼睛有光
根本就不是伊万的锅
FW
战犯名单
中国队配这首歌？
国足：都怪下雨，发挥不好
要退钱吗
这个场景真好笑
其实也不用失望，事实零分没让大家失望，看后面比赛吧
11打10被让1追2
配吗
给你机会你不中用啊
退钱！！！
没事别给自己添堵
不给力的都退票了
全场一片死寂
运球能把自己运倒了我也是服气
逆转了，但是
沙特：给老主顾点面子
经费最足，踢得最烂
人家是来看笑话的，怎么会被气到
什么戏剧门票1100
开场开香槟？
上早八  退钱！！！！！！！！！！！！！！！！！！！
差生位居多
退钱哥又要上早八了
海参没吃够
少一个人都踢不过
会赢的
优势在我
逆天
放学
海参名单
等你下课
幽默
我们是冠军！！！
这一场教练有责任的
心疼球迷
还想吃吗
起立
难绷
太搞笑了，国足这些大爷没人碰，自己就扑该了
、
？
这哥们是不会传球吗？
又菜又爱玩
地上铲出来一个坑，没办法这球
这场真的是大起大落
忧思在俄
老天爷笑哭了
连门柱都帮他们啊！
你的球子
哈哈哈哈哈
说明青年大还是挺有作用的
国足配吗
心疼球迷
七比零到三比零，有进步啊，哈哈。看个屁
嫖娼嫖多了
耻辱
烂泥扶不上墙
方便吃海参
用心赤使
输得好啊，呱呱叫哈哈哈
连上帝都哭了
不可能赢得，国足队员不知道买了多少自己输，赢了还不亏死
明明是沙特进的关国足什么事
好了，可以退出视频了
很蓝的啦
很蓝的啦
真的对不起来看比赛的球迷
别总说草皮 看回放就是体力不够脚软了
让你1球1人都能输
标准结局
关教练啥事
球迷复盘有个der用
飞舞
哈哈哈哈哈
所以就不能抱有太大希望，希望越大，失望越大
踢球的不用心啊
衣食父母
大连图书馆
？？？
海参品牌
公开处刑
一堆烂泥，谁来了也不好使
瓜迪奥拉，安切洛蒂来了一样下课
哈哈哈哈哈哈哈哈哈哈哈哈好
这球能丢？
这不是乌龙球吗？
好不了了
飞龙骑脸怎么输
为什么要持续给自己找虐呢
何必呢。。何苦呢。。
何苦呢、何必呢，为这样的球队
国足的球迷们这又是何苦呢。。
日内瓦，退钱！！！
不是，还有人看国足？
真是神雨，原来不适应的是我们自己
海参发力了
都做到这种份上了还好意思输啊
何胜————何时胜利？
什么时候小五万人都不关注了，什么时候国足彻底散了，什么时候有希望
背锅位罢了，根本教练不是主要矛盾
我建议解散更好
进球不给庆祝是吧
场地不行，三面环海，风水不好
我们? 关我们什么事
哈哈哈哈哈哈哈哈哈哈哈
心疼退钱哥
还下课？？放学了都
沉默震耳欲聋
小沙：我演技咋样？
在座的是不是真能气吐血啊。。。
然后输了
小沙还是会做人啊
feiwu
又赢不了 整那么多花里胡哨的
有啥用啊。。。
平地摔？？
就没停住球
球迷和主办方用心有个毛用
后面女子神同步
可惜起不来了
别！别！别打着“为国”的旗号！！！
国足还是球迷太多了
丸辣
多敲一点球迷的钱吧，不然没机会啦！！！！！
爽了
红红火火恍恍惚惚哈哈哈哈
还搞漫画形象，能不能认真点
买票就是给他们送海参，到现在还醒不过来。
真的会找理由，球员不行怪教练
说实话，还买票支持国足的就是支持这份耻辱。
中国男足，A股不值得信任
从这里开始崩盘了
太惨了这结局
人情世故球
还有人看才是
难怪这么多人看，这么有节目
退钱
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
永远都可以让人失望的国足
别奏 丢人
11打10优势在我
已经结束咧！！
你复盘有什么用啊！
优势在我！
哭的止不住了！！
来看笑话的
管人家教练什么事？
连门框都在和男足作对
可以怪雨了
做满是不可能做满的
哈哈哈哈哈，经典话术
陶醉小力神杯
要不别开课了？直接解散
下课了，回家写作业去
？？？？
很蓝的啦
何胜0423bilibili
何胜0423
人菜关教练什么事
演技？明明菜
日内瓦
正片开始
???
经典关节怪教练
我看11人对10人，优势在我
G
放学
幽默了兄弟
萨比
四仰八叉大雷哥
好了，这下得怪天气怪草地了
起立！
才发现男足有黑人。。。。
国足の主题曲
哈哈哈哈哈哈哈哈
不行就是不行
无论有多困难，我们都会输的，老天多想让我们赢，我们总能人定胜天
哈哈哈哈
天时地利人和拿满都能输 魏蜀吴联手输黄巾是吧
黄牛:谁会想不开倒国足的票啊
转瞬即逝
没事，到终场你再喊：退钱
为啥观众不给对手加油打对手旗子？
经典怪教练
Bgm正确
国足是没有底线的
下课？自己不行怪教练？哈哈哈
已经没救了
优势在我！稳了。哈哈哈
還是得輸的開局
不能理解，都这样了，球市还这么好
你不是退钱哥吗?
高兴的太早了
别祸害小孩了~~~！！
大连已经退版本了
你们什么不给巴黎奥运会世界第五的男子足球加油
退钱哥老了~~~！！
..0
???
过年了
国足应该解散
这离星海广场十万八千里好吧
抵制国足，从我做起，不看球，不传播
哈哈哈哈哈哈哈
对得起你们的苦难
留给国足的时间还很长，留给球迷的时间不多了
钱太好赚辣
这球速搁那下地了？不上去抢？
buff疊滿還是輸
輸不起
就是有这么多的慈母中国足球才这样
诗人握持
祖传下课
笑死了，搞這些表面功夫
真有人买票看啊？
这个小女孩有点像玖玖啊，好久没看了，去看看是不是
已经结su咧！
《FW》
演员啊
一局制上下课
.
每次都是这样 有意思么
没一个自己进的
大哥及时止损还来得及
后面小姐姐手都伸进大脑了
永远的第一主队，无论再怎么狼狈
这两场比赛主教练占很大因素
弹幕看过球么就说，这球反应就很难了你还要使劲？国足要是能有这种发挥早进世界杯了
海参给的
也是牛批，领先笑嘻嘻，输球喊下课，真球迷是这样？
看的人越多，足球越没有希望
人情世故
海参泡胀了
反正越不过，不如倒地
别！
已经结束咧
沙特压力大的都乌龙啦
心疼球迷
stan
日内瓦退钱
有闲钱人还是多
RNM，退钱！
退钱！！！
退钱就完事了
竟然还有球迷
在让球迷失望这件事上国足从不让人失望
不是 为什么这么多人去看 闲的么
《为国而战》
啊？平地摔？
老实了
真爱啊我靠
+++++++++++
裁判尽力帮国足了!
大连足球文化是真棒！国足不配！！
退钱！
这下看懂了
有一说一，这个头球真可以
就是在溺爱啊，女足有这种排面吗
挑衅也没办法吧？实力说话
笑死
6
主场作战我们可以放地堡嘛。——08红警
菜就多练
海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参
不忘国耻
正片开始
真的观众们球迷们太热血沸腾了，，致敬！
海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参海参
日内瓦，退钱
拉了
嗓音瞬间沙哑了
中国足球已经断层了只有推倒重来
舒服了
这是比赛？
想刀人的眼神是藏不住的
远离国足，生活更加美好
中国球迷的钱真好赚
挑衅咋了，自己不争气
确实进了
澳大利亚：该我了
没灵魂总是想自己表现踢啥球
..
我不落泪～忍住感觉～
团队项目中国能拿分我都谢天谢地了
中国99。99%都是个人英雄主义踢不了这些团队东西的
应该喊解散啊，下课也改变不了啥
老天是笑哭了
我怎么感觉每次都能听见这句话
归化11个老广吧无所谓了
花钱添堵来了
没球迷支持他们会解散，不是变好
睡回去看国足啊有毛病吧
支持国足的应该是支持国家而不一定是这只队伍本身
不嘻嘻
跑过来受罪 唉
您的好友王大雷已下线
中国制噪，哎结束的时候这些兄弟还在为国足加油不知道场上那十几个人心里怎么想
我们是—冠军！
别说什么国足了，只是男足而已，国足是女足
还没开始就结束了
你说下课？中国足球一届一届一届换了多少……
看不下去了，最后几分钟
人民的火是水克不了的，真正克我们的是什么你先想清楚
是海参吗？
哈哈哈哈哈哈哈哈
3球都是沙特进的
血压上来了！！！
我把话放这，在我们有生之年这辈子国足都没气色
有些人不是球迷，你那是中国迷
天空:知道结局的我讲下泪水，你们却以为我在笑
这还复盘个毛
裁判: 我都這樣了  還是贏不了
.
首胜2333
退钱啊
退钱！
能打中门柱已是超长发挥了
哈哈哈
真忠诚
变脸太快
蚌埠住了，笑死我了哈哈哈哈哈哈哈
看到网上说是乌龙球（
记住这个状态
哈哈哈
笑死了
门票收入将近5000万
优势在我
3个球都是沙特进的
配全亚洲最大的笑话，挺好
别看了，不值得
韦世豪
收徒下课 哈哈
沙特：展示容错
越位了，可惜
严查龙王
你说退钱
该我笑了
啊？真是来看赢的啊？我还以为大家都是来看笑话的
