别忘了象上的火枪，小子!
原始资源制造仪
三千，四周，无双休~~
PY！
重工藏工程师
注：5人吃羊是开局可以不断农民的最基本分配
邻居屯粮我屯枪，邻居就是我粮仓
二郎神又来了
橙猫猫在和邻居打架，我们来劝个架
我在此盖下一张陷阱卡
大家看到了，是橙猫猫先动的手
现在到了三国焗面那我们肯定是要打两家的对吧
心灵信标小子！
诱敌深入，半渡击之！
盖卡+1
三千～四周～无双休～
国王:蓟县！
冥土追魂
我超好多羊
萝卜只要右键就行了，而侦察兵要考虑的就很多了(
原始雷兽
断手流科技
苏丹独有:指给建筑加个门
强大的原始黎曼鲁斯坦克在原始机械神甫的祝福下碾碎异形。
大 象 巢 穴
广智
医生爷爷来了
远古帝皇毒刃
三国焗面当然要打两家啦
军合力不齐，踌躇而雁行
对面的弩手念着3.14手就变长了
怡玛目正在给水獭们讲经.mp4
学术牛马
黑游牧:南蛮
第一次占领油田反一千块钱doge
本官考验你陆地战斗功夫！
我说萝卜高见
萝卜の奇妙比喻
派，猫和老鼠远程武器。
空瓶是我dio 的啦
这是俺拾的嘞
红警遥遥领先
三千～四周～无双休～～
jm没搜到啊
三千~四周~~无双休~~~！不喝酒~~~~~
无梦的须弥人
注入灵魂
派？pan?面包的意思
须弥
红警精神
蓝色国王：欲架清蒸
注入灵魂！
玩战地的时候遇见过后排全是护士
南蛮是什么
我必須立刻集結我的宵夜
大象巢穴
不关橙猫猫的事哦
全军突击！
我们联合！
`-+
有建筑加成的雷兽
女王+雷兽
三千！四周！无双休~不可求！
三千 四周 无调休 996 熬夜 起早 是否黑白颠倒~
我超 猿
蓝色根本不知道这边打得火热啊
虫后大牛
劲爆大象部落
我必须立刻开饭
原始雷兽
百兽嘶鸣金鼓震，蛮王起兮万人随！
呼勒革诗惹之名，召南中群雄复起！
尤里佛游记
帅啊。
蛮民皆为蚩尤之嗣，凶兵既出，仇复中原！
这就打没一家？
谁说奥斯曼后期无敌？
这是伊斯兰印度，不是印度教
灵魂汁子
四代大枪就缺一个范围伤害你，还给他补上了
广智，救我
机械化才是主要输出
用进废退
哈哈哈哈哈
我必须立刻集结我的饭
不关橙猫猫的事哦
谁记得刚出帝四的时候这个科技可以让你偷鹿
对面：我也会城市化
卧槽什么君王之刃 原始雷兽是啊吧
怎么还打码了
我必須立刻集結我的飯碗
森帕森投
我说萝总高见
好短啊！
战争猛犸  战争猛犸（战争神龛）
换家，换家
胜一人难，胜二人易
地球雷兽
吃满BUFF的乌尔比安
两个伪罗，狼狈为奸！
你这样容易招仇恨
终于更新了，也是等了很久
我说总座高见！！
我必须立刻开饭
原始步坦协同
怎么有抓根宝
血太厚了吧
兽族地洞
可以
f91死亡冲锋！！！跟他拼了！！！
博弈论
jm没搜到啊
这里上帝视角最优解是拆地标强退萝卜
大学生
我嘞个单体团子
时隔一个月我终于能开饭了
奶水里参兴奋剂
凿空西域
从帝国2开始就有三养一战术，波斯直接200人口大象，一个农民都不造，非常恐怖
医生姐姐也好，女王也好，在德里不都是要被灌满的热水袋吗？
这个人口的大象已经没有任何理论上能打过的可能了
神婆神豆
饿鹿码
强取胜于苦耕
200人口生化部队
炮平四海
您更新的消息从契丹到爱尔兰无人不知。
原始scv
须弥教令院虚空终端
推地标那也太慢了，那时候大象早就回家了
曹老板
萝座高见！
真实地图是吧
科技的力量
西南联大
总座高见
《西南联大是吧》
岛图就是稀饭！
知识学爆
在大象前面吊了串香蕉
c！c！b！
奥斯曼老爷爷，我来给你踩背来了
搜累哇都噶那
大象的力量很厉害吧
