看这身高应该是大圣残躯
白  龙  马
《军火展示》
黑神话：救赎
猴哥这筋斗翻起来还叫奥
大圣时代变了
荒野大圣
大闹瓦伦汀
《黑肺佬：亚瑟》
荒野黑悟空  亚瑟孙行者
瓦伦丁啊这是
FN1900
荒野大悟空
中美合拍，两开花！！
金丝猴
中美合拍
黑西部·摩根
荒野大圣
西游大嫖客
南无大慈大悲普度众生生而平等等你露头头给你打爆一梭子不够十梭子管饱吃饱撑的敢惹我加特林菩萨
西神话:work on
筋斗云翻过头了
天命人三招没打赢，瞬间掏出勃朗宁
俺老孙给大家带来个宝贝儿你们瞧瞧！
你这悟空怎么练出了个死神之眼啊？
如意金箍枪
西海岸游记
中美合拍
孙悟空-荒野大嫖客
黑神话：亚克
齐天大镖客
不吃牛肉？
哈哈哈哈哈
我不吃牛肉
精准打鸡
金箍枪
请问瓶颈在哪里？
东部大表哥
陌生人：6
大人时代变了。
这走过头了吧？
黑嫖客 悟sir
建议改成（这玩意还没金箍棒好用）
想看从耳朵里掏出一把霰弹枪
啊！这……
黑社会：悟空
黑枪神悟空
我不吃牛肉
弼马温
南无加特林菩萨
哈哈哈哈哈哈哈哈
滥杀无辜符合西方强盗的性格，但不是孙悟空
荒野大吗喽
黑肺猴：悟空
如意金箍bang
我不吃牛肉
我不吃牛肉枪
你这子弹的力也没金箍棒大呀
普度众生ing
听歌识曲
《黑化大嫖客》
哈哈，这也行啊！。。。。。。。
文化输出哈哈
(皮肤金箍棒)
一个跟斗
……………………………？？？？？？我的发！
看到亚瑟的脸绷不住了。
我不吃牛肉
酸奶没有，纯牛奶好喝！嘻嘻
《斗战胜佛》
如意金手指
如意金gun棒
离经叛道！！！
《荒野大吗喽》
Black lung
如意金箍枪
西天大镖客
黑镖客（）
时代变了
荒野大马喽哈哈哈哈哈哈
中美合拍
荒野大嫖客2：悟空
荒野大嫖客2：悟空
有枪不用怎么当齐天大圣
忙尅不rua热
正脸像华烨
大镖客之弼马温
《我不吃牛肉》
真的是如意金箍bang了
黑神话，亚瑟
黑嫖客丶亚空
金毛吗喽
超雄
荒野美猴王！
别说，枪跟套装还挺配的
Journey to the West
小 迈卡
如意金箍GUN
黑手党：猴儿
卧槽马克沁
黑神话悟坤
大人时代变了
改编不是乱编戏说不是胡说
弼养的天马
黑镖客：悟空
黑镖客：悟空
黑嫖客：悟空
这就是西天吗
西部大镖客
黑肺王
猴子可不干这事儿
中美合拍
黑社会悟空。
大人时代变了。
我不吃牛肉
悟空的救赎
《黑恐高.悟空》
这步枪好笑我不吃牛肉
真，美   猴王
天命人远证北美
？
这是比利时的mle1903 战地玩家dna动了
黑肺佬：亚瑟
南无加特林菩萨
黑西部：亚瑟
话说审核呢
黑肺佬·亚瑟
我不吃牛肉
《黑神话·救赎》
荒野大马楼!
我不吃牛肉
黑社会·亚瑟
黑肺佬：亚瑟
一息三千六百转，大慈大悲渡世人
筋斗马
西 部 游 记
买内木椅子  齐 天 吗 喽
真.西游记
什么时候来个西海岸游记
猴子，时代变了
识破
西部活大圣
黑镖客:亚瑟摩根
我不吃牛肉
荒野大马猴
我不吃牛肉
史密斯1903，黄金皮肤
6
让你去西天没让你去西部
符合人设
这样真的成黑社会了
烂泥～烂泥～烂泥～
如意金箍ber
黑神枪·悟空
荒野大镖猴
荒野大镖猴
美金也是经，弹道也是道
天庭科技！
牛肉手枪
《黑手党:悟空》
来自俄罗斯的爱
黑神话：大表哥
取金人你才是真大圣
《黑神话：亚瑟摩根》
《黑神话：荒野大镖客救赎》
珍品大圣套
我不吃牛肉
千里马
千里吗
金箍枪
黑神话:镖空
美式居合
黑神话西部
中外合拍
？？
推门出来不抽一根不是很认可
金箍Bang！
这玩意儿真不一定有金箍棒好用吧（）
我不吃牛肉
搞不好下次校园枪手就穿这个
不愧是“西部”出生
荒野大吗喽
黑手党：悟空
这玩意儿应该打不穿妖怪
南无加特林菩萨
看到脸绷不住了。
《沙鹰齐天大圣》
按G啊
荒野金枪客 2
荒野金枪客
荒野大马楼
《西部游记》
哈哈哈哈
如意金箍Bang
这回看懂了
黑肺痨：悟空
弱点击破
什么泰山
荒野大镖客，你们能不能看出来？  穿上黑神话悟空的皮肤我都想打死你。
如意金箍gun
如意金gun
两个愿望 一次满足
美 猴王
黑社会：悟空
《黑镖客：悟空》
荒野大湿兄
0帧起手
黑手党悟空
Mle 1903///（瑞典人）
瓦考）
会飞，但是恐高
金箍嘣
这不抽一根蚊香？
黄金tt
这太荒诞了
荒野大猴王
零糖麦片，中美合拍
刀枪不入
黑神话：亚瑟
金箍棒可大可小（指口径）
妖怪，时代变了
.
西 洋 乐 器
纯紫丹
华西出身的吧
俩开花
黑手党 悟空
《黑手党：悟空》
黑手党：悟空
如果孙悟空真的想，他就能拔毛变一把出来。。。
如意金箍铳
黑神话  弹夹清空
弼马温
大人时代变了
一个跟头十万八千里
中美合拍的西游记
黑肺佬
如意金箍铳
金箍枪
如意金箍棒可大可小当然也可.45()
黑肺佬：悟空
都别怕，这个呢就是摄像机了
黑神话：大镖客
加特林棍花
黑肺佬: 摩根
《一朝鼠患凭空起》
这玩意比戳棍好使多了
猴里猴气的
大闹酒馆
黑肺大圣.亚瑟
一个筋斗就是十万八千里呀
八部天龙马
齐天大瑟
按g快按g多按几下就行了
大圣有枪
斗气化马
黑镖客:亚瑟
M1899—齐天大圣
打闹西部镇
荒野西游记
如意金箍Gun
中美合拍
华烨姥爷？
《中美合资》
金箍bang
不如金箍棒棍扫一大片来的效率
亚瑟你这是怎么了
华烨
荒野大吗喽
沙漠之鹰_齐天大圣
黑镖客梦回
《筋斗云》
黑手党、悟空
byd
时代变了
西部硬核取经
法天花板象地板
不要打平民
定海撞针
大品天仙决
致命打鸡
战地1有这把
大闹瓦伦丁
黑水镇：悟空
Roy jingle bang
大乘枪法
黑西部:救赎
黑肺佬：亚瑟
听懂了
亚瑟还玩cosplay呢
中美合拍
哈哈哈哈哈
真是普杀心肠啊
黑肺佬 亚瑟
猴哥，时代变了！
黑镖客·梦回
如意金箍Boom
如意金左轮
黑亚瑟：悟空
金箍Bang~Bang~ Bang~
四海好兄弟
杀人放火金腰带
中美合拍
迈卡小儿
斃马温
我不牛肉(幻听)
大闹酒馆
我不牛肉(幻听)
中美合拍
迈卡踹你一脚荣誉值就直接满了
金箍gun
我堂堂弼马温骑骑马不过分吧
黑手党：悟空
我不吃牛肉
美式如意棒
黑西部，悟瑟
黑手党，悟空
《如意金枪》
六道轮回炮
我不吃牛肉
悟空·摩根
大早上的你叫啥啊
黑神话:亚瑟
悟空:真玩意儿真好用
瑞典人
天命•摩根
天命大镖客
孙杰克哈哈哈哈哈
一说到中美合拍 就不得不提到下半年
荒野大悟空：镖客
金箍gang
这没有吧 你子弹打的距离还没金箍棒伸长变大的远呢
黑镖客：亚瑟
荒野大师兄
《黑神话:表哥》
弼 马 温
黑悟空：亚瑟
中美合拍
金箍BANG!
金枪
齐西大圣
天庭军火展示
哈哈哈哈哈哈
传说老鼠
给我干哪来了
我就知道会出这种
新版金箍棒
西部取经？逆天
这不比金箍棒好用？
西部大吗喽
同款枪皮
正确的
荒野金棒客！
我让你去西天，没让你去西部
黑神话镖客。。。
黑神话：表哥
西部落客
时代变了
筋斗马
悟空手持佩里科黄金枪血洗大镖客
