《成为笑霸第一步》
新生哥
成为唐诗第一步
唐
《李振东》
还有狱友帮上腔了
直面恐惧 斩断循环 拥抱过去 创造未来
9527！
这不是十一教吗
表演型人格
表演型人格
同学:鲨臂
正常点的应该是站一半就坐下，甚至都没反应。。。。
惊鸿一瞥
左边黑色哥们好几次想抬眼看都没敢抬，如抬（
不止不好惹，还会失去全部校园生活
旁边已经不敢坐人了
吃饱了
新生:??????
肃然起敬
唐
沙呗
全体目光向我看齐
同学：神金
刚出来的一集
？
11教？
我去…你敢播我都不敢看
挠贪
没吃饭啊
新生之前注定是毁灭
发型不对
左手边玩手机的淡定哥才是狠角色吧
以前都是自己搭场景，就你是真拍啊
只会让别人觉得你是神金才进去的
哟，这不是改造哥吗？
这……这不对吧
《好》
我:蹲下！
。。。。。
同学：执法公正，纪律严明 惩恶扬善，剑出锋芒！
《好》
省流:纸张
胎神
李胜
李胜
music！多少人爱这爱那理想远大，
神金
神经
第二天 同学：这不是光明哥吗？
到时候全班都起来喊（确信）
沙壁
理个短发会更好一点
不好惹？我只是会觉得他是傻子
省流：日新生
我是新生
改造哥
若之
改造哥，你醒了
认罪伏法，服从管教
这不我十一教吗
同学：深井
驯化的可以
成为校霸？成为笑料
积极改造
恼蚕
《习惯了》
不够洪亮
还光荣呢什么价值观
哈哈哈逆天
一周后：罪恶哥来了
第二天：吆，改造哥来了？
新生哥来了
没吃饭啊！
二波一
改造哥
新生:???
勺比
早日牺牲
罪恶哥
潮吧
额？济大？
那些说什么改造哥的，你猜他周围为什么没人
不是哥们儿
巴黎的刘
拥抱过去，创造未来，直面恐惧，斩断循环
罪恶哥
唐完了
早日牺牲
同学;乐子
就你说的这几句高低得重新让你喊
什么改造
奥利给
好活
