小潮:我选择手下最聪明的人
高斯：不是？哥们儿？
高斯：难道我不是共犯？
小砍应该是真的没看到（）
海皇进化了（空评）
水滴鱼的记忆。
这么天崩的开局居然都让他俩赢了哈哈哈哈
进化的皇，呆滞的杨
蚌埠住了哈哈哈
高斯发动技能：斯の推理
搅吧，搅吧，就搅吧
玩家高斯发动技能：推理的神
怀疑自己了
小潮刚想说是高斯，结果想起来是队友
《一宿到亮》
《水滴鱼的记性》
已经开始笑了
海皇差一点破案
皇本来是想看高斯的 真是欧皇
水滴鱼：这把高端局
凌晨3:30无人说晚安~
其实从羊头人的说话停顿就能看出来几点没有人醒
《是我》
《是我》
我现实生活中可精了
我的妈呀，终于有这句话了！！！
高子太聪明了吧
潮子超绝扰乱局势能力
《平民乱玩的下场》
这个可以剪进小潮Team电影预告了（
《小潮院长获得永久性“奖励”，高斯的永久怀疑》
一次性消费品已过期（doge）
高子和马哥组合完全没对手
小傲：我得了一种看见贾庆就想笑的病~
聪明的高斯改变了自己的策略
《整蛊小潮院长》
贾广大的分析
高斯这波分析真的很牛！但是真的带不动这些退化呀哈哈哈哈哈
《他不用演》
高砸醒的都好帅
高斯超绝发霉发色
注意：这里水滴鱼看到了砍 但砍只看到了皇
而且这局都没有单人醒来，没有查任何人的点数
杨砍把这局搅混了哈哈哈哈哈哈哈哈哈哈哈
总是共犯先说话哈哈哈哈哈哈哈
潮皇的默契（谁懂啊！！）
饿了么美团经典配队
《这集我好像在哪看过》
该不会是樟脑丸教父眼睛太小了，小砍才没看见的吧。。。。
不會開局8秒被淘汰叭
？我以为小砍是高玩，没想到是瞎玩
《潮T最强大脑》
自爆卡车
《零分钟前》
推理的神限时返场
呆呆的水滴鱼
小杨红如温(
马哥拉樟脑丸一起
小潮怎么这么喜欢选海皇当共犯啊
斯的空瓶
丸辣
打潮能快速刷级（doge）
《笑傲》
高斯Tou
《福尔摩“斯”》
其实海皇在第七层
注意这里的小砍 他真的没看小杨
共犯选的好，想赢没烦恼
高斯的贵妇坐姿（doge）
似曾相识的套路
《越描越黑》
小杨没话说
只要小偷蒙对了没人醒的时辰  几乎立于不败之地
高斯：看戏.jpg
小潮院长:拱火  高斯:看戏
小偷院长开始行动
樟脑丸的崛起
樟脑丸教父牛逼
小砍立大功
海皇进化了变成河皇了
小砍是这个游戏的king！！！
小潮是这个游戏的key啊！
贾庆：锅怎么到我身上来了
小潮取得了高斯的信任之后变得异常顺畅
已经能想到高子知道真相之后的表情了哈哈哈哈哈哈
挖潮，小斯好白啊斯哈斯哈
烫好烫好烫
