标题,Up主,URL链接,播放量,弹幕量,简介,点赞量,投币量,收藏量,分享量,分区,上传日期
【崩坏3同人大电影】主题曲「飞鸟说」,YuH_ChiliChill,https://www.bilibili.com/video/BV1XjpEeWEex,41.0万,460,"作词、作曲：ChiliChill
演唱：ChiliChill
合唱：再见动物园合唱团
音乐制作：ChiliChill
编曲：ChiliChill
吉他：枫丶CreeCai
贝斯：小伍Satori
鼓：Nik Hughes
合唱指挥：杨馥榕
合唱录音：李品一
合唱录音室：凌音音乐 Ascentone music
混音：ChiliChill
母带：ChiliChill

监督：青空-AoiSora
分镜：青空-AoiSora
演出：河豚酱酱酱 AoiSora7
角色·小物设计：河豚酱酱酱
花束·花瓶设计：河豚酱酱酱

总作画监督：左丘雏
作画监督：枣
特效作画监督：伊爱可丝exe

原画
shikaku 在火星 GzDteee 红车 84 灰色菓儿 千叶雏 河豚酱酱酱 小肥鸡 广隶 左丘雏 天蓝灰 jhl 伊爱可丝exe AoiSora7
特殊作画：鱼人

第二原画

二原
猫甲 梦叶 余灰 林凌柒lzs Echoinwind 王思语 nagi 晴天 阿king 星 风声 プロジェクト， 朱军 杨振宇 冯云霄 李欣诚 张耀邦
动画
猫甲，梦叶，余灰，月下的小面包，Echoinwind，kyle，中割君，星，安安
上色
博雅斯动漫工作室，南柯一梦，余灰
动检：G社是天

美术监督：狸太 芦苇
场景设计：狸太 AoiSora7
色彩设计·指定：芦苇

美术：狸太 耿大爷 Mumei 芦苇

摄影监督：ExDDD 二少 水豚
摄影：
紫 渡狸 阿墨 小黄鸭 伏雨雨宿 狸太 芦苇 ExDDD 文文 烤鸡 二少 水豚 子弹壳 栗栖Kurias

摄影制片：ExDDD

特殊效果：狸太

制作进行：G社是天
制片：青空-AoiSora
编集：伊爱可丝exe 青空-AoiSora",7.3万,3.8万,7.3万,5621,"['崩坏3周年环游记', '音乐', '原创音乐', '动画', '原创音乐', 'PV', '主题曲', '琪亚娜', '崩坏3', '崩坏3同人大电影', '崩坏3生日会', '七里桥']",2024-09-10 18:00:00
老王踢馆校园，教导主任挺身而出，打不过就毁灭吧,超级草根_王师傅,https://www.bilibili.com/video/BV1ke4nesE5e,88.4万,295,-,10.0万,1856,10.0万,465,"['运动', '篮球', '教育', '篮球', '单挑']",2024-09-12 16:52:43
我们的鸽《鹈鹕灌顶》,张小伙玩配音,https://www.bilibili.com/video/BV1by4hetEAf,86.1万,421,改编自-王力宏《我们的歌》,8.4万,2.8万,8.4万,1.5万,"['搞笑研究所', '生活', '搞笑', '万万没想到', '鹈鹕', '搞笑配音', '押韵', '看一遍笑一遍', '搞笑研究所2024 5.0', '张小伙玩配音']",2024-09-10 18:01:07
外国人挑战杭州水上一日游，居然偶遇白娘子本人，直呼“太city”了！,YouTube精选字幕组,https://www.bilibili.com/video/BV1pxpWeXEXF,99.6万,401,Not Found,8.0万,2253,8.0万,2543,"['生活', '出行', '中国', '旅游', '外国人', '歪果仁', 'city不city', '保保熊', '记录', '杭州', '白娘子', '杭州一日游']",2024-09-10 11:05:29
回 归 勇 士 现 状,锤子game,https://www.bilibili.com/video/BV1iF4zehEJz,133.5万,328,"你玩不玩？
你玩我肯定玩
我玩你别不玩
谁不玩谁狗
上号！",8.7万,484,8.7万,1666,"['DNF金秋畅玩季', '游戏', '网络游戏', 'DNF', '搞笑', '地下城与勇士', '现状', '大学生', '真实', '聆心计划', 'DNF金秋减负畅玩-UP主激励计划']",2024-09-12 17:05:00
14.18阿北更新解析，超大改动堪比季中赛季【金铲铲之战】【云顶之弈】林小北云顶S12,林小北Lindo,https://www.bilibili.com/video/BV1Ys4BesENw,91.6万,1311,"如果有帮助不要忘记3连哦！
不知道玩什么的
可以关注公众号林小北Lindo
获取4K一图流自动回复",5.9万,2530,5.9万,9118,"['金铲铲魔法乱斗激励计划', '游戏', '电子竞技', '英雄联盟', '电子竞技', '云顶之弈', '云顶阵容教学', '金铲铲之战', '云顶S12', '云顶之弈S12', '云顶魔法大乱斗', '金铲铲之战魔法乱斗']",2024-09-11 11:02:47
【高燃】悟空附体！一比一复刻《黑神话》招牌动作！,含亮老师,https://www.bilibili.com/video/BV1ni4reyEHE,65.6万,1471,"BGM：
黑神话悟空-云宫讯音
黑神话悟空-主题曲
黑神话悟空-灵山莫求远（广智小曲）
视频来的有点晚了，大家还有什么想看的记得在评论区留言哦！",5.9万,3.0万,5.9万,4407,"['黑神话天命人来也', '运动', '运动综合', '武术', '黑神话悟空', '黑神话健身训练营']",2024-09-12 14:06:54
可以展示！福建舰弹射系统测试首次公开,央视军事,https://www.bilibili.com/video/BV1u24HeKEhs,86.2万,2431,“2号位，模拟飞机，指挥站输入参数。”从海军辽宁舰、山东舰到福建舰，高枫先后在3艘航母服役。他所在的航空保障系统，是航母形成作战能力的核心支撑。今年5月1日，海军福建舰赴相关海域开展首次航行试验，看福建舰海试起锚驶向大海……（淬火）,4.9万,8413,4.9万,4437,"['科技', '科工机械', '海军', '解放军', '军事', '航母', '福建舰', '舰载机', '电磁弹射', '海试']",2024-09-13 07:30:00
台风是如何形成的？把干冰放在热水周围，有趣的现象发生了,科学探照灯er,https://www.bilibili.com/video/BV1vKpxe5EA6,74.5万,281,你知道台风是如何的形成的吗？,5.4万,1399,5.4万,1592,"['万物研究所', '知识', '科学科普', '台风', '科普', '天文', '自然', '知识', '科学', '实验', '物理', '科学科普', '万物研究所·夏日探索计划']",2024-09-10 17:00:00
《科摩罗》第1集：独闯非洲神秘岛国，深海诡异怪声环绕，还好最后大龙虾收获满满,OK哥环球探海记,https://www.bilibili.com/video/BV1EmpEePEPS,153.6万,4688,Not Found,6.3万,1.6万,6.3万,1433,"['跟着UP主看世界', '生活', '出行', '荒岛', '非洲', '红树林', '无人岛', '龙虾', '岛国', '海钓', '荒野探索', '抓龙虾']",2024-09-10 12:00:00
