四年的优先择偶权。
陀螺精转世
听取哇声一片
小亮！
军爷：能挡子弹么
这不叫肖老师来一下？
优先择偶权，拿下！
有本事跟他跑个武装五公里呀
看出来倒立转手了，转了半圈
颜色对了
体操运动员来到军训地点
艾玛真怕孩子把裤子抡出去！！！
我靠头不晕么
杰米
有点卡波耶拉的味
提前锁定择偶权
好漂亮的后飘
优先择牛魔
鬼影
原来是bboy啊
托马斯加单脚360（跳转）
底子不错！现在是找不到以前一起跳街舞的人了！都散完了
鬼影都出来了
听取哇声一片
裤子没甩下来不是很认可
跳完这个对面直接投降吗？
这真没啥实用性
择偶权的，他是新来的吗
越看越像姬小满二技能转一圈
还是单身
优先择偶权
草地上坐着个头发不得卷没了
陪一组
是摩天轮吗
体校？
看我亚瑟的大盾肘击
少年好腰啊
恶灵是你吗？
先看作者名称
你这样的扛不住我一套军体拳
我去，杰米哥？
秃头的秘诀就是干钻大地！
假草上转？头发不要了吧
跳马什么的会不会很厉害
托马斯全旋！！！
吗喽
草！ 走，忽忽忽忽忽忽忽忽忽忽忽忽忽略
掏他帽子！
怀念在南昌读书的日子啦
在学生眼里任何高难度技巧都没有托马斯牛逼
去择偶了是吧
牛顿:?
江科师大
？？？？
一眼苹果，防伪标识
韩国舞团
来小亮给他整个活！
不！
wc帅
可以，我取关了
净痰使者
只需十个双力臂即可全部拿捏
花拳绣腿，你和教官碰一下试试呢？
杰米
一眼判定：这是iPhone拍摄doge
子午连环鸳鸯腿
裤子掉了将会是绝杀
没有悍匪头套，差评
明天多站两个小时
托马斯全全
陆军特种兵学院借调函打印中……
我刚好也会
等会儿，这不我学校吗！？
这下面这卖的啥？阿婆主本人吗？
哈利路亚大旋风
获得交配权
来个半夜武装越野就老实了
汽车人，变形！！！
能躲子弹
教练，我想学这个
丝滑起飞～
忽略！
抢夺优先择偶权
记住，一定要把裤腰带栓紧
美式霸凌bgm该换上了
军爷这么猛，练一天还去跑步
米迦勒之舞
我都不敢想，这哥们在床上能有多强
苹果手机拍的？这鬼影
A飞
这个托马斯哟
帅啊
猴子成精了？
高中生都这么厉害啦
等一下再哇，看看up的名字
蝙蝠侠：孩子，我观察你很久了
你就是格雷森！！！！！！
三年优先择偶权有了
猴哥猴哥 你真了不得
这里一个姬小满，没开玩笑
花枝招展的，建议跑个三公里
不是哥们，你会飞！
这，就是街舞
优先择偶权
秃略～秃略～～～
这下看懂了
我去，杰米哥
wc
室友，快来看，操场有几个陀螺
这个闪光点是什么!不不不!智子已经来到地球了
优先择偶权
弹幕x压抑闹麻了
省流:又摸到痰了
起飞了
军爷不是杂耍的
七枷社
获得大学三年优先择偶权
过不了一年基本就废了
这就是breaking
军爷~
花开富贵点了赞
当你在格斗游戏中只会一个连招be like
先来一百个俯卧撑看看实力
zzz
优先择偶权
优先择偶权
我靠，像飘起来了一样
好粉的裤衩
学校不一般
建议穿小孩子那种五颜六色亮亮的鞋
就这啊？花里胡哨的我都撑不到第二脚
我去，肖
看到一位故人身姿
牛逼
优先择偶权
杂技演员
姬小满
谢谢，第一次听草坪叫声
健身社团招新了
这孩子未来三年都拥有一种东西叫择偶权。
托马斯全旋
跳的很好，继续保持
花架子
爆回，爆回!!!
怎么来了我们学校？
能多子弹
这太轻盈了
来 我看看军爷能挡几发
我嘞个体育生啊
这是breaking
搜索；西巴战舞
别这样，头会秃的
我去A飞接风车教练我要学这个
@肖青天
@肖青田
此处应有云宫迅音
完美黄金回旋。
此处@肖青天
猴
EEZZ
练家子！
军姐来我家看看吧，我家猫也会后空翻
卧槽 直接去选拔国家体操队吧
杰米，win!
秃略～秃略～～～
这核心，这年轻人，（粗口），（粗口）
有了
别人尖叫都说标志的，真的素质低下
练了这么多年就为这一刻装逼的
赢得教培权
@肖青天
武术生吗
Ez
玩嗨了
小亮，来给他整个活
谁家杰米（误视）
街舞培训教练一枚！
非军装 可能不是大一  可能已经有偶啦
卡波耶拉
军爷指的是军训的大学生
教练，我想学这个！！！
这，就是街舞
我想看他创倒一跑道的人
太帅了
旋风地堂腿
说什么军爷是蔑称 全网那么多 你怎么不挨个说去  真人机 这个算是娱乐频道涂个乐子的 你要这么严谨去军事频道啊
杰米
喔耶
托马斯回旋能秒哥布林
军爷您吉祥
他说的不是解放军，是这群军训的大学生
体育生：穿甲弹以下随便打，皮都破不了（Doge）
军爷是蔑称，称解放军为军爷，你是在开玩笑吗？
军爷是蔑称，称解放军为军爷，你是在开玩笑吗？
军爷是蔑称，称解放军为军爷，你是在开玩笑吗？
军爷是蔑称，称解放军为军爷，你是在开玩笑吗？
优先获取择偶权
取得优先择偶权
脑浆都摇匀了
我去，科师大
我去科师大！！
直接收编入伍
好轻松啊
身轻如燕
？
大学生不屑一看
空瓶是我的！
