一个爱做饭的人看到这里已经裂开了！！！
为数不多=一车
等等，这个手势，是说明绵羊还得练（doge）
不 至少本西北人是真的吃不了甜口的红烧肉 最多吃两块就腻了 我们那边还是更喜欢吃牛羊肉
家庭版与企业版的区别（确信）
这是西南F4版红烧肉
专业呀
哈哈哈好鬼畜
现在知道为啥食神出自少林寺后厨了吧dog
不可能是个每周四有的，要有天天有，没有就一直没有，这是为了照顾绵羊才安排的
全栈师傅
橘子洲头待遇
看到这儿真的。。。难受 加油 一切都会好的 你们都是最棒的宝宝！
大锅饭和家常菜还是完全不一样的
冷知识:绵羊是第一个看完的
可算找到人念稿了哈哈哈哈
“可以不辍学”
说的很对，不能为了炫技而牺牲最重要的功能性
这小伙子将来必成大器
铲子的发力点要离铲子头很近，这样拿法很费力而且翻不动
本以为去这些城市是为了去玩，没想到是为了见自己的亲人。是我肤浅了  泪目～
我做的！！！鱼香肉丝我做的
烟花易逝，人情长存
大盘鸡版红烧肉
非常符合食堂的调性，从来没在食堂吃到过任何大块的肉，哈哈哈
其实是大人的口味，小孩接受度可比大人们广多了，不应该限制孩子
我有捐钱！（自豪）
此战上岸吉林大学数学系！
厨子不偷五谷不收
人话，八斤
第二套方案，拖课拖到菜做好
哇哦内行
大西北吃咸口捏
绵羊戴上口罩好像王鸥
就在这时，主厨扛着音响走了过来
这下真的成绵羊阿姨了Doge
开使呤唱
小锅和大锅饭做法差别太大了
《帮厨的帮厨》
好纯正的鬼畜
大锅饭确实还是得男人干
。。。。吃一次都不行吗？
祝屏幕前的你万事顺意 认真生活 好好吃饭 笑口常开
同学 换一个眼镜吧 这是大姨
降龙十八炒！打狗铲！
Nooooo别当医生
azl&lhy越来越相爱
浇给
这不得写个观后感？
上岸
买车和男朋友天天开心工作顺利家里人健健康康平平安安！
绵羊和有山长的像
哇哦师傅好帅
祝父母身体健康
好乖
上岸
25考研上岸
平安顺利
拼命生
绵羊团队在为接地气做出努力了，不再是复刻高端菜，景观菜了
找个好工作！
南無阿彌陀佛
柯尼卡笑死我了，甘肃兰州那边人老特么有钱了
食堂跟私房菜根本就是两种做法
上岸！
考公上岸！
上岸上岸
许愿今年能把欠款还清
爸爸妈妈弟弟身体健康
我来助你！！
上岸
顺利拿到offer！
26上岸
上岸
捐给非洲兄弟
上岸
上岸
我也会感动的好吧
我就说怎么那么眼熟！上次鱼香肉丝的视频好像看过！
上岸
