懂了，在旁边蹲着最后再去
孩子话都不会说了
美女:没想到吧，我就是直播间的兄弟
出现了！老板最神秘的第三只手！
案板旁边不是还有金钱肚吗（doge）
省流：梭哈了
收摊生意就送是吧。下次我第一个来。一次性全要了
哈皮
这个声音怎么听起来那么像憨sir？
我是学生，再塞200块钱给我
左手边还有个毛肚
知道了，明天来蹲点
摆拍有意思吗
酸梅酱粘烧鸭然后多的酸梅酱浇汁捞饭可好吃了
蹲了三圈了
诶，递盖子这是谁的手？
这点在你这得卖100+吧
不要送给老人，老人会永远的来找事
这局促不安的小手
比黄金还贵的有点夸张了
原来是b友
菜板都入味了
炫我嘴里
鸭掌：不是，哥们
你每次都踩点，老板不会送你的
这个up怪不得生意好 有三只手 虚空换单属于是
没绕三圈不是最后一个，算是奖励了
last赏
好可爱
酸梅酱叉烧确实好吃哈。
兄弟们就不要去试了，这么多次仅限女的
听这口音是云南的啊
想付就直接扫，问，其实就是不想给钱，哈哈
不看她小手
老板好生意！
能跟着up吃吗……主要节省饭钱……
小手可爱捏
老板大气
居然看阿b
真是天才哈哈哈哈直接让老板收摊
有备而来
社恐的好吧
小b站倍儿有面儿
信我那绝对是金钱肚不是抹布哈
生意兴隆
有备而来
tl
上称还吓一跳呢
然后还卖光了。牛批
月入几万
菜板入味了
一锅油炸货。不值几个钱
好吧
倒数第二个买的兄弟怎么办，不患寡而患不均啊，做生意还不懂这个
老板声音好好听
明天过去就在那蹲着等最后一块
这顾客的小肚子哈哈哈
为什么那么贵
那是抹布啦
刀!刀!!!
去买过一次，不好吃，偏贵
我就喜欢酸梅酱沾叉烧
想付钱就不会问要不要付钱
旁边不是还有一块毛肚吗
这个店在烧肉熟食店都是最贵的，比黄金还贵
卖给你粉丝
我就是看了你说送，我才来的哈哈哈哈
天王老子来了也是贵
看她那小手
想要up的刀
为了这个踩点你也是人才，估计你都发财了吧？
嗯   好吧  有点不好意思说只能默默接受  哈哈哈
last赏
这点最少50起步
她一定会是回头客，这波老板拉满了
什么全是肥肉啊，你吃一次叉烧就知道了
下次就去等最后一块
全是肥肉啊
玩的就是真实
绕远路就是你最短的捷径
还有豆腐
酸梅酱不能配烧肉？不能配叉烧？都是稍肥的，加点酸梅解腻怎么了？管那么宽？
老子爱咋吃咋吃，酸梅酱蘸啥都香，更何况这种油腻的
主包把刀往里面放一点，我好怕碰掉（）
强送强卖
下次就去蹲点
酸梅酱点叉烧有乜嗨问题？
可惜没看到刀工
这个皮听着就好吃
路口等你
酸梅酱配叉烧好吃啊，咋了啊
没有绳匠嘛
卧槽，白嫖来了
哈哈哈哈孩子有点社恐 不知所措了
哈皮肉，你们还吃的津津有味
知道了，下回踩着点来
杂伴～
你看给孩子吓的，说话都吱吱呜呜的
前面看把你急的，没送你你心里不舒服直说
好吃的
生意真好啊
粉丝  送不亏
摄像头效应
好，下次我只买收摊的一份
看到你要送我赶忙就来了
这个刀别这样放啊
有没有欧尼酱
↑大大滴天才！
你也有1卖不完的时候？
看直播，刚好看到没有了，我来免费的拉
甜菜，全要了
前面的这nmd的朋友
素材这不就有了吗
真天才啊！
酸梅酱蘸叉烧？？？
up主有三只手？
有请双方辩手出场
多少付一点吧，怪不好意思的。
？
我是农民，这就是甜菜
你全要了老板说不定还真送你一大块
开心的话都不会说了
最大方的一集
怎么感觉好肥
哈皮啥呀，熟食卖的本来就贵很正常
天才↑
噶的老狠了
也是帅哥
这是你朋友吧
幽默
←纯纯的杠精
来得早不如来得巧
老板声音是好听的
炫我嘴里
