你得胜！
“现实里坐轮椅，游戏里还坐吗？”
太厉害了！！
神惧怕完整的他
恭喜
厉害呀兄弟，25次就过了虎先锋
加油，朋友
而你我的朋友你是真正的大圣
帅！
无论如何，它表达的价值观都是向上的
服
把他当正常人行不行？
现实里坐轮椅，游戏里还坐吗？
真的佩服，牛逼
真正的齐天大圣！
未完待续...
牛逼兄弟
这句话击中我了
牛逼！
真大圣
你才是真正的齐天大圣
跟辛神比一比吧
牛逼
恭喜
《》真
你好啊，齐天大圣。
此刻你就是真正的大圣
帅！
兄弟你是真的齐天大圣
牛逼
牛逼
你就是斗战胜佛
热爱一种东西就有无限的动力
牛逼
太帅了哥
太牛逼了吧
厉害厉害
厉害
加油！！！！
泪目
厉害
加油
冲这句，三连+关注有了！
牛逼兄弟
帅死了！
挂壁们你们听到了吗？
兄弟，你是真的齐天大圣
兄弟  你让我怎么回答你
牛逼
那我这四肢健全的人？啊
哦，我的朋友那才是那个天命人
斗战神二闹麻了
厉害
@幸初
真正的大圣残躯！
而你，兄弟，你是真大圣啊
甘拜下风
大圣残躯
牛逼兄弟
“现实里坐轮椅，游戏里还能做吗”
封神了
加油！
你过关！
太帅了
这句话牛逼，有骨气
强甘拜下风
相信你
真希望通关了，你也能成大圣，度过肉身劫了
兄弟，大圣定带你再冲灵霄宝殿！加油
respect
恭喜
牛逼
我勒个齐天大圣啊
牛逼
这话！感动
帅！
牛逼啊，兄弟，你太厉害了
阿铭铭丶
你踏马太牛逼了兄弟
即便杨戬打了一整晚，都必须禁字诀不留退路
而你，我的朋友，你才是天命人
牛逼！
好！！！
谢谢你
帅
而你，我的朋友，你才是真正的大圣！
NB
牛逼！
这句话说的太好了，听哭了
恭喜
帅啊
这句话是真牛逼
牛逼
别人玩这个游戏都是为了体验当大圣，而你我的朋友，你是真的大圣
而你我的朋友，你才是真正的大圣
牛逼
好牛逼啊……比我牛逼多了
帅啊
恭喜恭喜
不是哥们？
这句话太帅了！
fps那些挂钩能不能学学人家
牛逼！！
帥啊
这句话泪目了
这句话牛了
nb
尊重！！！
牛比卧槽
帅
厉害
您是真大圣
大圣在渡人
泪目
牛逼！
这句话太感动了
帅！
帅！
大圣，再带兄弟们冲一次吧，打上凌霄宝殿！​
这句话封神
