斩草除根真狠啊
谁扔的炮仗
不是一家人，不进一家门。一个被窝睡不出两种人
我这船是出了名的快（doge）
发型都一毛一样啊
镜子的含义：我一个人就是千军万马
棠宁好惨啊
因为女主要杀熊二灭口啊，所以她女儿跟着熊二跑肯定被波及，还是自己不够聪明没有看透
棠真也是剑
公主命丫環身! 這台詞絕了
大陆很少有这种题材
此处廖队带回断手观音，以示投诚。
回旋镖了，其实是这个女的扣下来的
太乱了，根本不知道在说啥
这个应该结局才告诉的，阿斗现在就说了
没看懂
其实真真这里学到了女主精髓，等闺蜜咽气了才装着喊人救命，打开门那一刻其实是女主肯定又复杂的眼神
这段神态变化好厉害呀
介过就是爱情.jpg
女演员工伤
林珊珊自以为跟马夫是爱情，所以想放爱人自由。可惜马夫是恨林家的
有一个细节，只要是粤语，就是真心话
小女儿也不简单啊。
大女儿看似私生活混乱，好像也颇有心计呀。
连胜文
雷猴晒雷哦！
这马夫这么大魅力吗
公主命，丫鬟身，就是惠英红自己
确实一家三代吧
隔代亲
也有解读说棠夫人献祭了女儿棠宁让她搞权色交易，才有了棠真
县长夫人，谁是县长不重要
细节——手在上为主导者，长命百岁不只是棠真的“报复”，也是在祈求“支柱”的屹立不倒
一直没看懂
这挺有手段的啊，是个人物
一眼开门
棠真只是下一个棠宁
简单来说女主像一直成为将军的女人，不管谁是将军
杰哥：听说你很勇哦
鸡皮疙瘩起来了
真真像胖一点的汤木檀泽doge
真狠啊
名场面来了
一个镯子 帝王绿
被母亲控制，被女儿出卖，惨到家了
马夫特长特长
亲妈真的绝了
《什么都看淡了》
而且跟将军的老部下吃饭，“武官”面前豪迈一点能更融洽吧
三人中只有棠宁最纯真，被其他两个人玩弄
这个眼神绝了
这也是计划的一环
连胜文
放古代多少是个能进历史书的人物
演的真的好厉害
林：我就是死了马夫还是我的人
不是，马夫是有什么特长吗？
外孙女复活赛打赢了
夫人：谁会和死人生气
一边付出真心栽培 一边予取予求
鸭王
马克:棠夫人？这么厉害的吗？
笑起来的时候好像妍珍
这里棠夫人确实是有想法让大女儿嫁给廖队长的，女儿自己看不上廖，所以棠才骂女儿
好像妍珍
"前面和大女儿三人行的那个吧,出现过一个带纹身的背"
跟着乌鸦哥三天饿九顿
重读“色”
跟着乌鸦挨饿
“聊天”
不白：怎么跟我的往生咒不一样...
这解说也是够可以了 坚持看了快二十分钟都不知道在讲什么
彼岸花学名石蒜
黄风岭 八百里
石蒜石蒜石蒜
偏偏好像开端的锅姨啊
阿斗的解说一直都很可以  我经常听着睡觉
？？有啥关系啊？？？哪有袈裟，都是暗线啊，没有明面上的，还袈裟，学句话乱用
好有内涵的电影
三人玩的当然是斗地主啦 还能是麻将么
戏说柔软
看原片就不乱了
裡面有很多真實事件融合
。。
不，真真是下个棠夫人
1000多人熬夜
马夫拿的后宫番剧本？
灭绝师太
惠英红好有气质
全篇最帅的男人旁边的保镖
这个蓝颜色的古建筑只用寺庙和墓葬，活人是不能用
爆
逐利的一生
牛逼
我读书少，这个不应该是读作猪脚jue吗？
你们大陆的山大王聪明得很呐
掮客
這裏就埋線了，為後面搞死這女的做鋪墊
真正的华夏民族
这熊二演马夫还差不多，至少还沾个帅
马夫这一角怎么选的？身子也不健硕，外貌也不出众，怎么会得到权钱大家的议长女儿的动心呢？
演戏而已
看淡个锤子，反话
大久保麻梨子
一把年纪了要这么多钱干嘛
牺牲一人，成全了整个家族，值得
太乱，根本看不懂
石蒜
黄眉：我又又又又赢啦
听不懂了
小鱼配拉片讲的清楚
这男的有啥好喜欢的
我想和侯总一样能学很多外语。
复仇的机会……
哪个豪门中的人不会几种语言的
阳光底下没有新鲜事
这一跳，犹如浴火涅槃，破茧成蝶……
是粤语 不是闽南语
好乱啊，一会这一会那
这是陈丽莎，是大汉天子里的窦太后
乌鸦也不是一般人
细节真的讲究
好机车的阿伟
B+C
杰哥不要啊！
马夫好像跟林夫人也有一腿
所以这个女的是谁
石蒜
石蒜
+
这句“不入流”就像老叟戏顽童
我选阿乐，阿乐真心为社团
这个之前好像解说过了现在怎么又来了
告诉冯，我为你把女儿也刀了，你要好好报答我。冯尴尬
台词不行
英伟达
全剧最佳：马夫
、
30亿在棠宁户头上，不走要把牢底坐穿
南无阿弥多婆夜
真真之前问宁宁要了一瓶水，然后直接向宁宁吐了一口水，估计也是恨她没担起母亲的职责
被灭口是因为一开始叫他走常人少走的路，他不走
毕竟底层出身，懂得如何做样子
大陆没有这种事哈哈哈哈哈哈 听听你在说什么
不要这么形容，那就是毒药
但是拿了三十亿后享受过了，还是赚了
更绝望的在后面，老妈要自己顶罪
狗狗好可爱
8000+
1700W人了
女主还是赢麻了，就是不能安乐死而已
棠宁看着花房说的哈哈哈
哪里想女儿嫁了，利用他而已
疾病缠身，长命百岁
三个人都知道是怎么回事哈哈哈
《闺蜜》
别透剧啊
难道大女人跟父亲？
后面这段大可不必
名场面
带入白娘子，绷不住
40分钟，精华都讲完了，也看完了。得三连
陳莎莉
我就喜欢林夫人
猴赛雷
钵兰街杀过去的
字正腔圆
拉片是指逐帧分析电影叙事，一秒24帧
''
9./-\.['PO.;;;'''';'';';';';';';';'
只是让她多受罪
真的吗？
]
狠心两次的重生
高端局，4种语言是基本功
像个人了
上海滩，哈哈哈
《和谐相处》
《温馨》
看淡的是人命，亲情，或者所有感觉。唯有钱权看不淡
怎么感觉小女儿，要逆天？
公主自古以来就是政治筹码
哇哇又赢啦
强大到，可以心理暗示自己，什么是真，什么是假。
笑了，不是应该说甘礼良吗？
长命百岁，万年负愧
没这么离谱的，那时候镯子没这么贵
嘎嘎开门
没这么贵的
我勒个出生啊
一家三代
马夫已经是赢家了
先把弹幕养肥了再看
《聊天》
《姐》
6
有点姿色
这么随便，就判案
这段真的绝
弯弯是真的想学日语
突然get到了棠宁的绝望……
所以女主是想要把这个王议长搞下来是吗？
你解读真够多啊  编剧和导演 估计都没有想过
一个台湾话，一个越语
这咋跟极阴岛一样
蔡明即视感
\
100w
最后赢家是女主孙女
孙立人
等会，我在思考
好狠
吓死我了，还以为是金星
我还以为死了
拿下一血
林太太是日本人
有钱人的口味是真重啊
所以说不要信什么佛，也不要信什么上帝。  杀了人一句阿门以及阿弥陀佛就ok了。
有一段结尾没放出来
好浓啊
姐姐其实是她妈妈
他俩年纪可不相仿，翩翩大棠真很多
确实不然女主为什么这个时候出现在医院
写的回购价格
怎么换了个封面
标题取得好，看的人就多
为什么会喜欢马夫啊。。。
字正腔圆
妈妈桑附体
陈莎莉
女主下场一定很惨
哪里黑？
牙齿很黄，细节到位
什么万人迷
隔代亲？ 真真就是下一个宁宁
林珊珊一家已经猜到可能遭遇不测，才良心发现放马夫自由。
粤语  普通话 日语
啊？
凌夫人美啊
我看林太太也是风韵犹存啊。
拉片是拉拉看的片吗
感情世界完全是空的 亲情爱情友情全部都
房间号
乌鸦哥可不是一般人  哈哈
《和谐》
啊！  ！
这个出色  说的非常的
啊？又摔？？？？？
天啊好惨
棠真成年了吗
滋镇墙垣
注音是簡化中文字來的，跟日文沒有關係
？？？看来活好
应该是棠夫人做的
还管真真干嘛啊母爱泛滥
不是那个，纹身不一样
白色好看
好可怜。
俄罗斯解体了
哈哈乌鸦哥！
勾辟 潇洒多少年才嘎 赚到了
黄眉又赢了？
又字有东西
别彼岸花了 这是我们本土石蒜 花意也不是小八嘎说的那样
/
建议去看元王院长夫人的眼神跟狼似的
快乐烧烤屋长
斗哥，细啊
为什么要杀女儿？
完啦
前面的 你都知道证件是她偷偷扣的，你为什么还觉得马克会知道这个事
亲妈都送她出去
蛙蛙 就是开发
红花石蒜
别为了解说瞎造词啊……踽踽前行/踽踽独行，龃龉是矛盾摩擦的意思……真挺下头的
1000万新台币
心智一定要从小培养
大陆怎么会给你拍这种的呀，想都甭想
粤语，日语，闽南语，国语
坐小船上的大船
棠宁死了
母女对话 灵魂质问
石蒜而已
下去沉淀沉淀
听泉那个站住
这样的人活着不无聊了吗？意义不知所谓
我擦 1.1w人+
还是虎父不毒子
给我
还是原声
啊？！
100w
注音
真好看，上流社会
谁能想到长命百岁是这么恶毒的话
用的适乐肤
小女儿心机重的很
这是文淇干吗，凭这部电影拿了金马
因为棠宁是三个人中童年最幸福的，所以她知道真正的爱是什么样，也渴望爱
王夫人我觉得可以
怎么感觉棠宁那么像森泽佳奈啊（doge）
就是粤语啊
这是无垢巨人吧……
那无阿弥陀婆耶
念经用外语管用不
哈哈
0000000000000000000000000.
还是哪里人说哪里话 演的就更自然 要不然表情动作都被口音绊住了
旁边这男的好帅
棠真：同意插管
汉字演变500例
贪嗔痴
\
好多人啊（周迅脸）
这是   胡慧中 演的吧？？曾经的女武打明星
好看
这里面的真真就是异人之下里演陈朵的文淇啊
黄雨宣
那是丽水公寓
还不恨啊姐姐
我是看了电影来看解说的
欲成大事者，至亲亦可杀
返魂
阿娇
掮客（ke）
姐姐（妈妈）
看淡了
卧槽
看完血观音难受好几天
步步为营者，定无后顾之虞
666666
这有什么看不懂的，女主纠集的这帮人全被清算了啊，我估计就是女主弄的
所以，要那么多钱有什么用？！
最可怕的来了
干！！！
太魔幻了。。。
唐真学成了
666666666666
青瓷说，这我熟啊
不要害死你女儿
阿弥托佛~~~托佛耶~~~
智勇双全，我心飞扬
这个电影里，绝对不是全员恶人，绝对不是每个人都心理极致黑暗的
啊啊啊啊啊啊啊  嘻嘻嘻
最可怕的来了
牛
6666666
感觉唐真天天守在林偏偏身边就是享受
哪里有鳄鱼？？？整个影片都没有鳄鱼 只有人
细节还得是阿豆啊
自己的妈妈不爱自己，没有比这个更痛苦的事
所以也暂时将你眼睛 闭了起来
是吗
唐真才是最后赢家 因为影片开头就说明了
他也喜欢马夫
6
当女儿的看到母亲这个意思 真的会绝望吧
怎么还是1.2万+
那么阿弥陀佛耶
系番啊
神猪
最不理解的两个人...
这片子里就没雨好人
我靠源华！
终于来到血观音
这个刚进门的男的是查案的牛马警员
没有赢家
林太太会中文 这是个伏笔
孙立人将军夫人90年的话是70多岁 跟这演员的年龄差距不小啊
真真内心：可笑
实话，这女的感觉并不好看
好狠
成年了就自己出去打工啊，俩母女都是自己不争怪命不好
哪怕是公主也是被皇帝用作联姻的政治工具去利用，一样是卖身，选择不了自己的爱清和命运，公主的爱情故事只在童话传说里
母慈女孝真的是
棠夫人出卖过自己的女儿一次，就会有第二次
这解读得太好了，也让人觉得棠夫人实在太狠了
肝不好
得力助手
抄底成功mvp结算画面
什么叫掮客
林桑是国人 老婆是日本人
姐妹变母女 震惊我三观
6
我勒个豆，我也要去当马夫
写的100w啊
这里夫人是日本人
真就1.2万+
小快筏
字正园腔
石蒜科的吧？彼岸花
是台湾就是这样的，旧时被日本殖民之后留下了很多文化
不是一家人，不进一家门
斜插中指
谎言不会伤人，真相才是快刀
这段戏绝了
爽一辈子 最后痛苦点也就那样吧
老登  让你爽爽
没有主角，全都是权利的博弈
;23 qwazsxxnbasxzxzxzxz\
这电影拉片，解说都好看
每个老板娘
行
咋知道的
マーコも一緒に馬を乗るに行った
