我老了，我也不懂
细节剑眉还在脸上
一个人在宿舍真的爽！
文艺复兴
我不懂，但是我笑了
是我真的会笑疯的好吗？哈哈哈
八角笼开始
《随地大小跳》
《真实》
我嘞个兄弟情深超绝双人舞
尬得好真实
人家有这种想法也没错吧 天天扫兴扫兴的要不你给人家点钱
求更新友谊公寓
赵管家也来了
幻想时刻
这个音乐响起，我知道了
这太真实了
妈呀这是我整个大学的幻想
三呐呐呐呐三呐呐呐呐
听我指令，@一颗闪
本地人上大学真的不是很合群……因为他们也有本地高中朋友
趙管家沒看到？
舞女嘻嘻
三三呐呐呐呐～三三呐呐呐～加加加加里加里加里巴温
真实
？啊啥意思
同款杯子
都重生了还不会化妆？
现在还比较装 等过几天室友同学就暴露本性了
我懂但是没笑
真实
朋友就是让我外向亿点的钥匙
有幸遇到三个脑回路一样的朋友，爽飞了真的
好崩溃
我们宿舍关系还挺好的
一个人在宿舍很爽啊
好尴尬救命
听我的，就假装玩手机。
不打
汗流浃背了
哈哈哈我笑點，
老场景突然回归！
室友就是我好朋友
哈哈哈哈哈哈
哈哈哈哈哈哈哈
这个太真实了！！！
是顾景琛和许管家啊
许管家有点好笑啊哈哈哈哈哈
娇娇你貂呢？
哈哈哈
许管家也在呀
第五人格！启动！
BGM：快乐的扑满
好久不见的风格
娇娇终于短袖了，呜呜呜
哈哈哈哈哈哈哈
头发也太多了吧
卧槽真的是我靠一模一样
同款裙子
羡慕，可是我没有朋友
好吵啊！吵到我的眼睛了！！！
对上眼就打，不想打就别开脸
好朋友：跟娇娇，赵管家，徐管家，顾总和娜娜
幸好我的大学室友和我三观都和，兴趣爱好也一致，可以一起疯
感觉要死了
久违的大学系列
大学遇到了好朋友
像极了我高中分完班之后的样子
sko
ufc
啊啊啊啊啊，太真实了
我们宿舍人都很挺好说话的，而且和朋友在一个学校
。。好神金
又来。。。
我就是她舍友的其中之一，真的一点都不想聊
呜呜呜想她们了
我和大学室友已经处成好朋友了
好真实，不问就拿
我和我大学舍友就是这样，天天找东西吃（）
哈哈哈哈哈哈
红红火火恍恍惚惚好吧哈哈哈哈哈
跟着王妈，安全感爆棚
要素察觉
我嘞个呲牙舞
哈哈哈哈
《舰眉》
好冷
一次主动换来一辈子内向
我不行了
她会从二楼下来给我送吃的，我真的好感动啊啊啊！！！
好羡慕呜呜呜呜
世另我啊啊啊！
大学谁管室友叫小胡啊
哟，傻大个来了？
这个我懂，装眼瞎
这时候不应该有勉强的尬笑嘛
这发量
呲牙舞哈哈哈
呲牙舞（）
不可能这么快！
害怕
不愧是顾总跳的最好最认真
Hhhhhhhh
哈哈哈哈哈哈哈
呜呜呜想我朋友了
好久不见的李飞视角
我们学校后来禁止这种了，怕传染病
初中升高中我们就是这样的，吵吵的哈哈哈
真实
娇娇肢体不协调
好真实
为什么顾家的人都在，唯独没有赵管家？难道就因为他是厉群吗
和我大学一样
鬼故事：四人间，五个人
啊啊啊别说顺拐，我不顺拐，不是我
别演了我好尴尬，，
笑我了，不懂我也
听不懂
我懂我来笑
太真实了，姐
卧槽学到了
神金，哈哈哈
呵呵哈哈哈
真好啊这种大家一起兴奋又快乐的样子
笑死了哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
我挺幸运，和舍友第一次见面聊到半夜三点，去年还两家人一起旅游了
我和舍友第一天见面，两个人头顶头就聊到半夜三点，我把我
没有就借，事后再还就完了，之前没暖贴了前前后后和室友借了好几个，最后直接还了室友一包
欣答应什么时候回归
幸好我有好朋友
谁懂啊，我们宿舍就是这样，想死
一样一样的，玩个通宵
半生不熟最尴尬啊啊啊啊
羡慕死了
小陈完美融入
赵管家你怎么来了
哈哈哈哈哈哈哈哈
有点真实
哈哈哈哈哈哈哈哈哈哈哈哈哈
想看古代了
二摆舞
神金hhh
我的鼻子呢？!
看不懂
真实
李飞
真实
王妈请多拍欢乐的友情向视频！！！！！！不要谈恋爱了！！！！
自选菜哈哈哈
好喜欢你们几个一起拍的
一般都会同步装不认识
这个系列也不错诶，只要不是玛丽苏，多拍群像就行！！
比男生都高
娇娇划水
哈哈哈哈哈哈
玩到吃早饭太真实了
发现赵管家不在。
1000＋人出来
航空母剑
原来蛋黄是这个
同款杯子
说真的我有点破防
好熟悉的感觉
5小时前
讲笑话的时候解释笑话，那这个笑话就不好笑了，如同死一般的尴尬
看手机真实了
哈哈哈哈哈
和我大学寝室一模一样呜呜
顾总
苏菲打钱
俺水灵灵的赵管家呢
什么你尝尝我的，分明是我尝尝你的
哈哈哈哈哈哈哈蛋黄
哈哈哈哈哈哈
我靠我今晚刚买了露比的安睡裤！
我们一个宿舍玩的可好了 熟了就好了
大学室友会很亲密吧，没这么疏远啊
4小时前！！！！
冰天雪地，放
《为什么突然想哭》
头发好长好直
哈哈哈哈哈哈哈哈哈笑死我了
..
大家好快乐 怎么看得我泪目
划水
《다시 태어난 나는 좋은 친구와 대학을 다녔다》
我在班里基本上没有什么朋友，不过我感觉也不尴尬呀，可能是我习惯了，也可能是我自己本来就比较喜欢独处
想我去李飞了。
4小时前，烫死了！！！
这个裙子好好看
蛋黄这个你让我前几天刷到我都不知道
羡慕
真实
好尴尬啊
哈哈哈哈哈
真实
小包好可爱
4小时前
我是格子迷彩服
三三那那那那～
李飞视角
这梗属实太新你放到前天我还真没听过
王之星头发好多啊
hhh我们宿舍是个例外吗，大家都很好，开学一直都是一块去吃饭一块去学校的，甚至还趁免费一起逛了景区
半熟不熟的，如果四目相对，微笑一下就当打招呼
赵管家呢
娇娇好美
哈哈哈哈哈哈哈
一家人就要整整齐齐！！！
过于真实哈哈哈哈
确实是很标准的剑眉
我懂
哈哈哈哈哈哈哈哈这段我反复看
完全是我！！！
好快乐
好冷的氛围
我也不懂，但是真的逗
哈哈哈哈哈哈哈哈哈
标签在外面
衣服穿反了
我和我的大学朋友就是这样哈哈哈哈哈哈
果蝇舞入侵
一眼skp哈哈哈
笑死 顾总老是表现最好内一个
赵管家呢
姐 衣服是不是穿反了
哈哈哈武汉skp
梳子一模一样
出去玩叫不到人太真实了
衣服、商标？？？穿反了？？
我不懂。
好看的
瘦了我猩
那1000+人出来
一看就是SKP
一小时前，出息了
哈哈哈哈哈
顾总业务能力好强！
男大顾总！
王妈好漂亮啊
哈哈哈哈哈
猩猩瘦了
我就跟高中时最好的朋友在一个大学，但是不同校区，大学四年见面次数屈指可数，渐渐就不联系了。虽然有点遗憾，但大家有各自的路要走。人生每个阶段遇到新的人，相伴走过一段，大概才是常态。
这个裙子可太大学生了
同学你是会扫兴的
迪拜的那个舞蹈吗？
为啥吃早餐没有赵管家
《蜡笔小王》
给钱买或者下次换呗
