藏族这套好漂亮呀
想看全身的
头饰大蒜的，俺也看成了
这发音好像泰语
壮语的恭喜发财好像不是这样说的吧（）
秀禾服补药啊。。
56枝花
这句蒙语的意思是新年快乐啊
哇哦，好隆重
对不起，把头上的装饰物看成大蒜了……
虽然很好看，但是去掉链子吧，土家不戴细链子的，有点影楼风了
完全不符合个人对汉族新娘的刻板印象
虽然但是，我们这儿结婚不这么穿啊
汉服选秀和服
土家族是有自己的语言，但没有自己文字。有些话说出来知道是什么意思，但写不出来
我大广西
壮话∶有钱多多
希望来个全身画面
哇，姐姐好用心
好久没刷到你了
如果全身更好  整体看全
为什么不拍横屏呀
蒙古族！！！
我去这个看着好有活泼少女感啊。很清爽的感觉。
最端庄贵气的一件
你还不如不说话呢
姐，你根本没有创作瓶颈吧
不。。。不。。。
你们来买
汉族是没有自己的服饰吗？
这不是满族？
婚礼服可以租的
壮族人表示听不懂，和我老家那边的不一样
啥米？？
啊，土家族还有自己的语言啊
大气
这个穿黑白色的人好像女王
壮族！！
好看
ahao
好普见啊
没有汉服？？？
秀禾服是影视作品衍生，名字含义也不好，不知道为什么成为主流
谢谢您带广西玩!!
赞赞赞赞
哇
赚钱多多哈哈哈哈哈哈
别五十六个星座五十六枝花了。改的什么东西，原版就是五十六个民族！这样才符合中华各族人民大团结的原意
不是56个民族56个星座吗？
安宁哈C哟
虽然但是姐姐这是秀禾服不是汉服
现在的土家族应该都不会讲自己的语言了吧，我以前读书的时候，我们班上超级多的土家族，跟汉族人差不多
最好看的服饰
得嘞！
这装束有点霸气啊！
这个绣球我笑了，广西绣球不长这样
彝族人爽啦
蒙古族！
等等，怎么有点恐怖的样子？
彝族！！！
好美好美
??秀禾服
啊啊啊土家族土家族，感觉我一个土家族听不明白土家话
我是刘德华
终于有我的民族了
我似！
彝族！
我靠这不同体验啊
土家族报道
都漂亮！
好漂亮啊
？？？？？？？
？？？？？？？
说的是新年快乐，用的是外蒙的字
主要人美，哪套都美
回族呢？？？？？？？我的回族呢我是回族的人
回族呢？
为什么要把大蒜顶头上
姨族服装相当大气
好隆重的服饰
哦豁哦豁
壮族的百里不同音千里不同俗没听说过？
扎西德勒秀
服装真的好精致
这个不太喜欢
畬族！畬族！畬族！
毛乖乖？
这个壮语，这个壮族人听不懂
你奶奶
广西人来了！
好正宗！！！
土家族来了
新年快乐？哈哈哈哈
这句是新年快乐的意思
看到那么多壮族人都听不懂我就放心了
我听不懂我壮族说的啥哈哈哈哈
哇，这也太美了
最喜欢彝族
这句我熟
好漂亮
瓦萨里
叫爸爸
这个注音可以
不要不要啊啊啊啊啊啊
都好漂亮啊
好像白玛。。呜呜藏族好美
