joker↑
如果抬头看见天花板有人看我怎么办
老板：你个小馋猫
马儿不死
喷你一脸口水
喝一口唾沫星子
我一巴掌呼过去
老妈:你不服气是吧（边说边抽出了衣架）
怎么突然离近
这点不对，我老大就喜欢站在我面前吼我
假的，哥们天天被逆天领导怼在我脸上20cm左右喷我
省流：绷不住了
因为近距离不是要亲嘴就是要掐起来
诶，你鞋带散了
当 麻 纱 绫
迎接口水攻击
直接看回去，发现别人只是在发呆
被对象揪起领子
天花板浮现出血色的文字千万不要让他们知道你能看见他们
廉租
反向学习
探花绷不住了
老板:你有点暧昧了！
2b
学会了学会了，这就拿去反制
假鞋！
我盯别人鞋一般是为了看看白袜
老板：gun
我们教官就喜欢贴着人吼
如果那人在天花板上偷看我呢
变态哈哈哈
二等兵，甘！！！！
我每次都一直盯着看我的人的眼睛，知道他不看我
下三白 不可交
不行，和老板离近的话越严肃，我可能会笑出来
你抬头他抬眼
假的，我上个老板经常贴脸骂我们组长
神金老板会近距离发疯
这个有时候是视线重合，在你余光里的人你以为他在看你其实只是余光中有你但没有注意你，这个时候可以直接看他一眼确认一下就好了。
咋的？你看天花板了你还能知道别人有没有看？
想多了
那假如我直接贴着老板是不是更不会骂我了
老板后撤步+吼叫
后面那个在摸鱼
好了 声音从我的脸上响起
但坐到旁边直接一巴掌呼上来了怎么办
王大勇是你吗
离得近吃口水是吧
人可以对着很近的人挥拳
好像这边坐在左边还是右边也有讲究，和人处理情绪的半脑有关
艹
贴脸喷
他要打我咋办呀
老板伸手锤你更方便了
对方鞋子是耐克
瞪大眼珠子跟老板贴脸）
跟探花开头似的
直接呼你了
嘿嘿，我从不偷看，我凭本事看的，怎么能叫偷看呢
怎么办我都是盯着三点看的
老师:我有一技
然后你就会被口水洗面
老板：我们俩是不是有点暧昧了
喷一脸口水
假的，老师在讲台上骂后排学生一点不影响
欸，你换新鞋了（doge）
老板：看我后撤步
然后改挨一巴掌了
不，只会被打，然后赶走
572人
近了他越骂越起劲还想动手了
然后口水喷一脸。
然后变成冷嘲热讽
老师:往哪里看呢？天花板上有题吗？
赢政觉得很淦
你真是个天才，二等兵甘！
军官“你没听懂我的话吗”(鼻子贴鼻子)
坐的近不怕被打吗？
那是恐怖片
我一般和老板互相怒斥
戳了，父母都是贴脸开大的
老板：你想干嘛要打我啊
byd去和唐妞教培吧
byd去和唐妞教培吧
离得近直接一巴掌扇过来了
我服了彩字哈哈哈哈哈哈哈哈
老师，我作业写了
别靠近我！！（）
心里の小曲
离得近正好可以打一巴掌
近了，容易挨打
人不应该是感觉不到视线的吧？
对象:离我远点
日 本 人
青年大学习
《就会有口水蹦你脸上》
也可以盯着发际线看
然后被对象360°飞踢踢走了
离得近了更方便扇巴掌
jojo，你已经进入我的攻击范围了
我老师喜欢边说话边点头
直接贴脸
然后被喷一脸口水。
我：你瞅啥？
我一般会订回去。
我在看天花板怎么看有没有人和我一起看哇
6
老板叫我滚远点
因为怕他一换一吗？
沙比
我老师骂我，骂的更凶了(▰˘︹˘▰)
本来别人没在看你，现在开始看你了2333
沟槽的比不中
抬头之后发现和偷看你的人对视了
别尝试，坐的近我对象直接上手了
做培训的，认同第二句
巧了我就是喜欢贴人脸上喊
