这还真演过刘邦
这霸气决断比李渊更像天选之子啊
项羽那天赋，不学兵法百战百胜，不学武艺以一当百
哈梭哈梭，平时不及格，期末得满分
钓鱼执法
暗指徙何密陷入大野“渊”
宇文化及：我去吃饭！
当年三十六员将，东跑西奔各一方，单单剩下王伯当，大胆保你来降唐，唐王天子隆恩降，反将公主招东床
真就最后一步走错了啊
李密不幸就在于没有自己基本盘，看着声势浩大，但其实根本就经不起失败。
李绩没读过书但真的一辈子活到老学到老，最终也得到了位极尊荣竟以寿终的回报
看可汗跳舞原来出于这 有传承
还是李密个人性格的问题，就不适合当个领导者
曹操:玄德，我等着你凯旋归来
高植物：搅吧 搅吧 你们就搅吧 ！
王世充：李密上书简称密书是吧？
李密：好方略，不过我想稍作修改
徐世勣：那就要感谢我的好孙子
李世民打完仗还得搞政治斗争呢，也不是白得的皇帝
李密：有牛不看
没有李密架桥也接手不了
后世的李如松点了个赞，碧蹄馆之战后多年亲随家丁俱丧尽，再被蒙古围困时战死沙场
知道怎么搞，但搞不了，这是最难受的，哈哈哈
李密版走麦城
比金刀计稳多了
王世充：等等，我还没倒下呢
洛阳有珠宝没粮食，李密有粮食没珠宝。但是李密的手下现在只想要珠宝黄金赏赐
这不是窦融，这是豆粉
斩单雄信是有原因的
真是那样，他可能也会成为李世民的铁杆，就像萧瑀和宇文士及一样
《战线不会骗人》
徐世绩这事儿办的确实地道，相比之下单雄心没有演义里的“忠义”
最后确实保了兄弟们富贵
请欣赏著名京剧剧目——断密涧
三角形具有稳定性
李密:只要能到达那个地方
这么一说，李世民真牛，无论实力还是心态还是演技
李密:孩子们，我没被抓
《李渊：我二郎天命李！我和他姓！》
徐世绩经典政治不粘锅
《李渊：玩不过二郎我还玩不过你？》
钓鱼大师
《李渊：懂不懂天命李的含金量！》
王世充：嗨害嗨！
我成替身了
李世民：我才是最能代表武川血统的
项王：别管刘老三赢没赢，荥阳老子实打实拿下了
李世民同志，你的瓦岗大礼包来了
但凡这货不是个开国皇帝，都能是个政治水平高的好皇帝
《不怀疑》
武智冲：同样的剧情 千余年后我会在鹅城再次见证
《援引小吏的一句话：历史中很多人物做的选择事后看是傻，但是当时他们真的不得已啊》
二凤：你怎么会生了个我这么能干的儿子啊！！！
天策上将：我也有个世字！哈哈哈
《高欢：我还是太保守了》
贷款赏赐暴雷了
