杨哥说来了有学分拿
666
发不发实习证明啊
站好了，不要东张西望的！
丸辣！
？
《东张西望》
重生之我在大闹天宫当天兵
中间那个小兵不要东张西望
？？？
没事，一会儿就飞了
老张说能领10个鸡蛋和一把挂面，我就去了
上司：瞧什么瞧
群演视角
？？
Oi！那小子！说你呢！别瞎看！好好站着！
不会吧，我是来实习的耶
重生之我在天庭当天降
？
真的在现场啊！
听说有学分，我就来了
别配沙雕音乐
这个天兵叫十万
哈哈哈哈哈哈哈哈哈哈
群演有盒饭吗
在现场是吧
有点意思啊
666666666666666
丸辣
剑 来 ！
剑来
曾经我也有一份体面的工作
不是说加综测吗
省流，前面还有一个
一会震飞你你就不乐了
早知道今天就请假了！
BGM正确
开风灵月影了
逆天副业
哈哈有意思
此时心里赫赫发抖…好怕二爷叫我们上
站好站好
wc 原来这个飞剑范围这么大
什么时候下班
志愿时长+1
完辣
第二视角
一会他俩头套给你震飞
唉，那个兵，就是那个兵
天兵不是喽啰并，明白吗，只是你对手是齐天大圣
副业的小曲
副业的小曲
吓死了
不道啊，不是说不来不给毕业证吗
有背景那个，大圣一棍下来你猜前排疼还是后排疼
手机呢，这不拍照发朋友圈还举着长矛呢
黑神话重生之我是天庭一小兵
吗喽是吧，哈哈哈
严肃点，还有没有纪律了，庆功宴没你的份了
巨灵神还好吗？
加学分说是
这俩打半天法天象地还没开呢
没想到这么多剑雨
眼睛不要到处看
丸辣，要等会儿要被起飞～
泼猴看戟
他倒了就到你了
我踏马笑死
这个视角，看着就害怕
你怎么拍了还上传了啊，万一被逮到我们这队要连坐的呀。
嚯全新視角
你知足吧，我刚看到一小子挨站第一排
发实习证明我来也不是不行
打仗呢，严肃点
我听说有学分就来了
《重生黑神话之我是天兵天将》
你猜万剑归宗的剑从哪来的
当小兵太棒了，看着领导拼死拼活
我去打花果山？
吃瓜
等一下就飞起来了
这个镜头太好了，瞬间表现出无力感
丸辣！关于我转生成炮灰
买了多少热搜
你这是立正的姿势么
天庭公务员：这俩货打得还挺热闹～～～
？？
不準東張西望！眼睛别往別處看！你那是立正的姿勢嗎！
你很快就飞了
神奇视角哈哈
原来万剑归宗抽的是天兵的剑
孙文静！！我。。。。
卧槽，剑来
视频被偷到外网了。
前面那不又nm头什么问题跟nm哪所谓摄nm了个阝的什么头来了
刷素拓分是吧
怎么还看鼓大包了？？？
神仙打架
这个位置3888起步，视角好，观战清晰
那个脑袋转来转去的，你是谁的兵？
副业的小曲儿～
DLC
真菌，我想和我朋友站一排
剑来！
生前影像
构式bgm
摇头晃脑
他们说给灵韵我就来了
我在影神图里看到过你小子
不许东张西望！眼睛别往别处看！你那是立正的姿势吗！
