3颗子弹6条人命 四舍五入上万人
数学家
现在的枪都有保护绳不轻易拿下来了
不会在这人身上吧？
这门和墙，不太对劲吧
按照现实，战友不可能拿，但是电影就难说了
这件事啊，不急，但是！～一定要快
这里问自己有没有出去，说明他隐隐约约知道自己出去了，但不敢确定，妻子犹豫的回答证实了他的想法
？？？
让子弹飞一会
？
宁静！
带家伙属于执行公事，去婚礼属于私事，私事不能穿警服
我自行车掉沟里了
这位更是重量级！
牢美不缺这一把枪
如果出事所长的职位也不保
所以公职人员喝醉是有处罚的
就是说没想着用的人会把枪还回来，但20个小时还没还回来，那这个拿到枪的人八成是想干些什么
一袋米我抗几？
现在子弹很少用全威力弹了吧，怎么一枪两个
所有剧情都成幻想了有这么推理的吗
老警枪54手枪，7.63毫米口径，一枪打穿身体还是轻轻松松的
猜到了
老战友应该能明白事情的严重性吧
丢的枪不是枪本身！丢的枪丢的是人命！
所长直接懵逼了
最怕空气突然安静
精神分析类电影
青岩嗦
都快到北京了
枪不能带回家
《运动》
《肃然起敬》
听君一个字，如听一个字
感觉这人很紧张，不自然
所以是他自己？他一直追查的凶手，其实是他自己？
如果遇到王牌杀手那就是一枪三个，九条人命了
这电影不是常规的悬疑片，便意识流
坐火箭都上太空了，知道外星人要受多大威胁
《警务条令》带枪喝酒，开除；造成后果负相应刑事责任
美国不缺这玩意
划重点到北京
可真未必啊，最怕的就是有人捡到后一通鼓捣啪就打着火了
这是个悬疑片？
这点刺激就人格分裂了？太扯了
就在他身上，别人紧张结巴，他不结巴
这是什么解读
要真那么着急，为什么寻人启事必须24个小时之后才能报警
姜文的片都挺荒诞都很迷
这里暗示了两次了
故弄玄虚
进京查的还是挺严的 进京的高铁都要专门再查一遍
一枪一个孕妇
手枪9毫米一枪还不一定打得死一个
意思是北京以外没什么事呗
枪根本没有丢，这都是他想出来的
这个人就是主角自己
仁济
那时候对这方面还不严吧
还因公殉职，有点点好笑了
到美国倒是无所谓了，就你们那枪，人家都是步枪的
这是正确解读
???
镜头语言不错
我找就知道是这个结巴
我的是意大利炮
我一枪能打死三个你信不
这才是好兄弟啊
好兄弟
一枪两个？
配枪还敢喝酒。。
有没有可能枪就没丢过
好解读
都合理
这下听懂了
鞭炮枪啊，你们没玩过？
ntr的都似了
什么假枪有这效果？
这里的构图超级棒
所以之后才有的规定，这很难理解吗
你人还怪好的
给战友吓得
收藏是吧？逆天
还真是，不上交，那真危险
到美国那就没事了
枪可不一定要开才能杀人
？？？？
啊？？！
有种穆赫兰道的即视感，幻觉和现实傻傻分不清
美国到是不缺这个
幽默
++++++++
一枪两个怎么做到的？（稚嫩高中生）
这也是一种解读，原片的暗线其实没有标准答案
这下听懂了
这还不是真相，大家请继续
这里发型怎么变了
姜文：让枪飞一会儿
以前警察管枪很混乱的，随便都能拿着手枪回家
我一枪十个
这部片不输让子弹飞，谁都不敢说看懂了
职业杀手：我不缺那玩意
这把所谓的假枪从来就是真枪，一个小偷哪来的“这是我的枪”这么高仿的假警枪
人家做了一辈子刑侦，这点犯罪心理学看不出来？
这里有个细节，全局人的的奖金都还了回去，可见事态严重
开保险 上膛 扣扳机 现在小孩可能都会用枪
有没有可能职业杀手用不着，或者人家自己都会造
这也太假了，这种大事还在回忆以前的事，第一时间是赶紧去解决
他老婆拿的？
那要是遇到究极杀手一枪十个那不就是30条人命？上不封顶？
真正的职业杀手，自己都能造出
6
《枪》
那时候警枪都是全威力弹吧，真能打穿人体
普通警察抓逃犯也不能枪不离身吧
+
废话，
悬疑片最喜欢的是人格分裂。
如果孕妇怀的5胞胎呢
啊？
不会用个屁啊  那时候军训什么的 全是真枪打把
还有意外收获
怎么不能带回家？
就是不好啊，电影里那么多伏笔没放出来，就说是人格分裂了，很多地方都暗示了是马山自己设计的局
就是卖羊肉的
美国天天都是这事，不用管
后面剧情说过，丢的枪是五四，劲儿大着呢
有比大家c
啊？
丸辣
是结巴吗？
这是20年前，管理很松散
真的事情大条了
不是都有儿子了吗还瞎搞
如说
白月光
安？
贵阳话
校长
？
哈哈哈哈
？？？
四舍五入就是一个亿了啊!
？
嘎子是主犯
6666666
ntr
去美国至于从中国搞枪么！？
？？
云贵川的口音都很像
非警务活动禁止配枪，枪都是上交统一管理的
真希望到那里
枪没在枪套里 很明显是有人故意拿的 不然不可能枪套留着枪没了
你翻嘴
不会用还是不敢用？
安？
坐火箭都到月球了
空包弹罢了
啊？
???
把他稳住啊，跟他讲给就从轻，不给从重，开枪死刑，然后说有联网的记录仪
是电影，就叫寻枪
宁静还年轻的时候
这是真兄弟
就是他自己，双重人格
有牛
